"Human"	"Mouse"	"value"
"286"	"ciliated.cell"	"vein.endothelial.cell"	0.00231481481481481
"337"	"secretory.cell"	"chondrocyte"	0.00231481481481481
"377"	"secretory.cell"	"fibroblast.2"	0.00227790432801822
"166"	"ciliated.cell"	"T.cell"	0.00211327134404058
"284"	"cd4.positive..alpha.beta.t.cell"	"vein.endothelial.cell"	0.00201207243460765
"344"	"cd4.positive..alpha.beta.t.cell"	"fibroblast.1"	0.00199600798403194
"20"	"t.cell"	"ciliated.epithelial.cell"	0.00198150594451783
"96"	"plasma.cell"	"club.cell"	0.00186567164179104
"115"	"neutrophil"	"glandular.epithelial.cell"	0.00183318056828598
"280"	"t.cell"	"capillary.endothelial.cell"	0.00181488203266788
"364"	"cd4.positive..alpha.beta.t.cell"	"fibroblast.2"	0.0018018018018018
"237"	"secretory.cell"	"myofibroblast.cell"	0.00173913043478261
"177"	"secretory.cell"	"T.cell"	0.00170357751277683
"281"	"goblet.cell"	"vein.endothelial.cell"	0.00169779286926995
"110"	"fibroblast"	"glandular.epithelial.cell"	0.00161030595813205
"362"	"b.cell"	"fibroblast.2"	0.00152439024390244
"256"	"plasma.cell"	"endothelial.cell.of.artery"	0.00143472022955524
"186"	"ciliated.cell"	"dendritic.cell"	0.001434034416826
"112"	"macrophage"	"glandular.epithelial.cell"	0.00135869565217391
"210"	"fibroblast"	"dendritic.cell.1"	0.00133689839572193
"368"	"double.positive..alpha.beta.thymocyte"	"fibroblast.2"	0.00114025085518814
"140"	"t.cell"	"non.myelinating.Schwann.cell"	0.00111482720178372
"348"	"double.positive..alpha.beta.thymocyte"	"fibroblast.1"	0.000587889476778366
"37"	"secretory.cell"	"fibroblast"	0
"105"	"cd8.positive..alpha.beta.t.cell"	"glandular.epithelial.cell"	0
"120"	"t.cell"	"glandular.epithelial.cell"	0
"181"	"goblet.cell"	"dendritic.cell"	0
"190"	"fibroblast"	"dendritic.cell"	0
"196"	"plasma.cell"	"dendritic.cell"	0
"240"	"t.cell"	"myofibroblast.cell"	0
"261"	"goblet.cell"	"capillary.endothelial.cell"	0
"296"	"plasma.cell"	"vein.endothelial.cell"	0
"297"	"secretory.cell"	"vein.endothelial.cell"	0
"316"	"plasma.cell"	"endothelial.cell.of.lymphatic.vessel"	0
"322"	"b.cell"	"chondrocyte"	0
"336"	"plasma.cell"	"chondrocyte"	0
"340"	"t.cell"	"chondrocyte"	0
"342"	"b.cell"	"fibroblast.1"	0
"345"	"cd8.positive..alpha.beta.t.cell"	"fibroblast.1"	0
"360"	"t.cell"	"fibroblast.1"	0
"374"	"mucus.secreting.cell"	"fibroblast.2"	0
