"Human"	"Mouse"	"value"
"319"	"skeletal.muscle.satellite.stem.cell"	"skeletal.muscle.fibroblast..fibroblast.1"	0.00763358778625954
"298"	"mesothelial.cell"	"skeletal.muscle.fibroblast..fibroblast"	0.00762527233115468
"110"	"skeletal.muscle.satellite.stem.cell"	"CD8.positive..alpha.beta.T.cell"	0.00754147812971342
"94"	"t.cell"	"skeletal.muscle.satellite.cell"	0.0075
"152"	"tendon.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00748129675810474
"209"	"tendon.cell"	"capillary.endothelial.cell"	0.00743494423791822
"86"	"mast.cell"	"skeletal.muscle.satellite.cell"	0.00740740740740741
"261"	"pericyte.cell"	"tendon.cell"	0.00736648250460405
"198"	"fast.muscle.cell"	"capillary.endothelial.cell"	0.00732899022801303
"79"	"cd8.positive..alpha.beta.t.cell"	"skeletal.muscle.satellite.cell"	0.0072202166064982
"257"	"mast.cell"	"tendon.cell"	0.00721649484536083
"38"	"tendon.cell"	"macrophage"	0.00713436385255648
"217"	"fast.muscle.cell"	"blood.vessel.endothelial.cell"	0.00711743772241993
"127"	"mesothelial.cell"	"B.cell"	0.00699912510936133
"76"	"tendon.cell"	"T.helper.17.cell"	0.00697471665213601
"193"	"cd8.positive..alpha.beta.t.cell"	"capillary.endothelial.cell"	0.00697350069735007
"122"	"fast.muscle.cell"	"B.cell"	0.00696257615317668
"344"	"cd4.positive..alpha.beta.t.cell"	"smooth.muscle.cell"	0.00696257615317668
"294"	"macrophage"	"skeletal.muscle.fibroblast..fibroblast"	0.00669216061185468
"231"	"cd8.positive..alpha.beta.t.cell"	"pericyte.cell"	0.00659630606860158
"104"	"macrophage"	"CD8.positive..alpha.beta.T.cell"	0.0065843621399177
"141"	"fast.muscle.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0065359477124183
"35"	"slow.muscle.cell"	"macrophage"	0.00652315720808871
"6"	"endothelial.cell.of.vascular.tree"	"striated.muscle.cell"	0.00638467677573823
"302"	"smooth.muscle.cell"	"skeletal.muscle.fibroblast..fibroblast"	0.00632111251580278
"148"	"skeletal.muscle.satellite.stem.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00629722921914358
"205"	"skeletal.muscle.satellite.stem.cell"	"capillary.endothelial.cell"	0.00625782227784731
"222"	"mesothelial.cell"	"blood.vessel.endothelial.cell"	0.00625558534405719
"276"	"mast.cell"	"stromal.cell"	0.00624442462087422
"306"	"cd4.positive..alpha.beta.t.cell"	"skeletal.muscle.fibroblast..fibroblast.1"	0.00623700623700624
"39"	"capillary.endothelial.cell"	"monocyte.derived.dendritic.cell"	0.00623441396508728
"36"	"smooth.muscle.cell"	"macrophage"	0.00620017714791851
"58"	"capillary.endothelial.cell"	"T.helper.17.cell"	0.00617760617760618
"43"	"endothelial.cell.of.lymphatic.vessel"	"monocyte.derived.dendritic.cell"	0.00613496932515337
"179"	"fast.muscle.cell"	"endothelial.cell.of.artery"	0.00612423447069116
"21"	"cd4.positive..alpha.beta.t.cell"	"macrophage"	0.0060790273556231
"330"	"erythrocyte"	"myelinating.Schwann.cell"	0.00599700149925037
"85"	"macrophage"	"skeletal.muscle.satellite.cell"	0.00589225589225589
"225"	"slow.muscle.cell"	"blood.vessel.endothelial.cell"	0.00573065902578797
"189"	"t.cell"	"endothelial.cell.of.artery"	0.00569476082004556
"274"	"fast.muscle.cell"	"stromal.cell"	0.00563607085346216
"186"	"skeletal.muscle.satellite.stem.cell"	"endothelial.cell.of.artery"	0.00561009817671809
"164"	"mesenchymal.stem.cell"	"vein.endothelial.cell..endothelial.stalk.cell"	0.00557103064066852
"27"	"fast.muscle.cell"	"macrophage"	0.0055379746835443
"255"	"fast.muscle.cell"	"tendon.cell"	0.00549450549450549
"109"	"pericyte.cell"	"CD8.positive..alpha.beta.T.cell"	0.00548446069469835
"118"	"endothelial.cell.of.artery"	"B.cell"	0.00539374325782093
"69"	"mesenchymal.stem.cell"	"T.helper.17.cell"	0.00531443755535872
"299"	"pericyte.cell"	"skeletal.muscle.fibroblast..fibroblast"	0.00529100529100529
"314"	"mast.cell"	"skeletal.muscle.fibroblast..fibroblast.1"	0.00517063081695967
"178"	"erythrocyte"	"endothelial.cell.of.artery"	0.00512820512820513
"77"	"capillary.endothelial.cell"	"skeletal.muscle.satellite.cell"	0.00504413619167718
"121"	"erythrocyte"	"B.cell"	0.00503778337531486
"258"	"mature.nk.t.cell"	"tendon.cell"	0.00502933780385583
"248"	"capillary.endothelial.cell"	"tendon.cell"	0.00488997555012225
"4"	"endothelial.cell.of.artery"	"striated.muscle.cell"	0.00485100485100485
"25"	"endothelial.cell.of.vascular.tree"	"macrophage"	0.00468933177022274
"42"	"endothelial.cell.of.artery"	"monocyte.derived.dendritic.cell"	0.00468384074941452
"95"	"tendon.cell"	"skeletal.muscle.satellite.cell"	0.00464396284829721
"46"	"fast.muscle.cell"	"monocyte.derived.dendritic.cell"	0.00463821892393321
"230"	"cd4.positive..alpha.beta.t.cell"	"pericyte.cell"	0.0045045045045045
"119"	"endothelial.cell.of.lymphatic.vessel"	"B.cell"	0.00449438202247191
"221"	"mesenchymal.stem.cell"	"blood.vessel.endothelial.cell"	0.00437956204379562
"78"	"cd4.positive..alpha.beta.t.cell"	"skeletal.muscle.satellite.cell"	0.00432900432900433
"5"	"endothelial.cell.of.lymphatic.vessel"	"striated.muscle.cell"	0.0042674253200569
"228"	"tendon.cell"	"blood.vessel.endothelial.cell"	0.00425531914893617
"140"	"erythrocyte"	"endothelial.cell.of.lymphatic.vessel"	0.00423728813559322
"197"	"erythrocyte"	"capillary.endothelial.cell"	0.00419287211740042
"33"	"pericyte.cell"	"macrophage"	0.00418410041841004
"133"	"tendon.cell"	"B.cell"	0.00410958904109589
"12"	"mesenchymal.stem.cell"	"striated.muscle.cell"	0.00407830342577488
"171"	"tendon.cell"	"vein.endothelial.cell..endothelial.stalk.cell"	0.0040595399188092
"131"	"smooth.muscle.cell"	"B.cell"	0.00392927308447937
"26"	"erythrocyte"	"macrophage"	0.00391389432485323
"211"	"cd4.positive..alpha.beta.t.cell"	"blood.vessel.endothelial.cell"	0.00383877159309021
"202"	"mesenchymal.stem.cell"	"capillary.endothelial.cell"	0.00379746835443038
"52"	"pericyte.cell"	"monocyte.derived.dendritic.cell"	0.00377358490566038
"320"	"slow.muscle.cell"	"skeletal.muscle.fibroblast..fibroblast.1"	0.00367647058823529
"312"	"fast.muscle.cell"	"skeletal.muscle.fibroblast..fibroblast.1"	0.00367309458218549
"263"	"slow.muscle.cell"	"tendon.cell"	0.00366300366300366
"154"	"cd4.positive..alpha.beta.t.cell"	"vein.endothelial.cell..endothelial.stalk.cell"	0.0036036036036036
"80"	"endothelial.cell.of.artery"	"skeletal.muscle.satellite.cell"	0.00355029585798817
"87"	"mature.nk.t.cell"	"skeletal.muscle.satellite.cell"	0.00341880341880342
"128"	"pericyte.cell"	"B.cell"	0.0033112582781457
"166"	"pericyte.cell"	"vein.endothelial.cell..endothelial.stalk.cell"	0.0032626427406199
"212"	"cd8.positive..alpha.beta.t.cell"	"blood.vessel.endothelial.cell"	0.0032520325203252
"19"	"tendon.cell"	"striated.muscle.cell"	0.00320769847634322
"83"	"erythrocyte"	"skeletal.muscle.satellite.cell"	0.00318471337579618
"112"	"smooth.muscle.cell"	"CD8.positive..alpha.beta.T.cell"	0.00311526479750779
"53"	"skeletal.muscle.satellite.stem.cell"	"monocyte.derived.dendritic.cell"	0.00308641975308642
"286"	"capillary.endothelial.cell"	"skeletal.muscle.fibroblast..fibroblast"	0.00306278713629403
"290"	"endothelial.cell.of.lymphatic.vessel"	"skeletal.muscle.fibroblast..fibroblast"	0.003003003003003
"54"	"slow.muscle.cell"	"monocyte.derived.dendritic.cell"	0.00296076980014804
"71"	"pericyte.cell"	"T.helper.17.cell"	0.00292682926829268
"1"	"capillary.endothelial.cell"	"striated.muscle.cell"	0.0028673835125448
"167"	"skeletal.muscle.satellite.stem.cell"	"vein.endothelial.cell..endothelial.stalk.cell"	0.0027359781121751
"216"	"erythrocyte"	"blood.vessel.endothelial.cell"	0.00268096514745308
"315"	"mature.nk.t.cell"	"skeletal.muscle.fibroblast..fibroblast.1"	0.00251889168765743
"81"	"endothelial.cell.of.lymphatic.vessel"	"skeletal.muscle.satellite.cell"	0.00247524752475248
"322"	"t.cell"	"skeletal.muscle.fibroblast..fibroblast.1"	0.00242718446601942
"100"	"endothelial.cell.of.lymphatic.vessel"	"CD8.positive..alpha.beta.T.cell"	0.00239234449760766
"111"	"slow.muscle.cell"	"CD8.positive..alpha.beta.T.cell"	0.00218978102189781
"293"	"fast.muscle.cell"	"skeletal.muscle.fibroblast..fibroblast"	0.00215285252960172
"55"	"smooth.muscle.cell"	"monocyte.derived.dendritic.cell"	0.00211416490486258
"273"	"erythrocyte"	"stromal.cell"	0.00204081632653061
"349"	"erythrocyte"	"smooth.muscle.cell"	0.00198807157057654
"291"	"endothelial.cell.of.vascular.tree"	"skeletal.muscle.fibroblast..fibroblast"	0.00193798449612403
"235"	"erythrocyte"	"pericyte.cell"	0.00192678227360308
"51"	"mesothelial.cell"	"monocyte.derived.dendritic.cell"	0.00186046511627907
"173"	"cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.artery"	0.00185185185185185
"307"	"cd8.positive..alpha.beta.t.cell"	"skeletal.muscle.fibroblast..fibroblast.1"	0.00173310225303293
"135"	"cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00160771704180064
"107"	"mesenchymal.stem.cell"	"CD8.positive..alpha.beta.T.cell"	0.00152439024390244
"114"	"tendon.cell"	"CD8.positive..alpha.beta.T.cell"	0.0014792899408284
