"Human"	"Mouse"	"value"
"427"	"bronchial.vessel.endothelial.cell"	"myofibroblast.cell"	0.0146341463414634
"263"	"type.i.pneumocyte"	"neutrophil"	0.014609203798393
"151"	"vascular.associated.smooth.muscle.cell"	"capillary.endothelial.cell"	0.0146082337317397
"509"	"endothelial.cell.of.artery"	"fibroblast.1"	0.0144444444444444
"500"	"basal.cell"	"fibroblast.1"	0.0143884892086331
"238"	"capillary.aerocyte"	"neutrophil"	0.0143497757847534
"440"	"mesothelial.cell"	"myofibroblast.cell"	0.014336917562724
"99"	"myofibroblast.cell"	"pulmonary.artery.endothelial.cell"	0.0143048725972284
"210"	"lung.microvascular.endothelial.cell"	"B.cell"	0.0142630744849445
"344"	"cd4.positive..alpha.beta.t.cell"	"non.classical.monocyte"	0.0142348754448399
"22"	"mesothelial.cell"	"ciliated.epithelial.cell"	0.0141806722689076
"128"	"dendritic.cell"	"capillary.endothelial.cell"	0.0138888888888889
"269"	"adventitial.cell"	"alveolar.macrophage"	0.0138760407030527
"140"	"non.classical.monocyte"	"capillary.endothelial.cell"	0.0137103684661525
"281"	"endothelial.cell.of.artery"	"alveolar.macrophage"	0.0134892086330935
"506"	"classical.monocyte"	"fibroblast.1"	0.0134589502018843
"206"	"endothelial.cell.of.lymphatic.vessel"	"B.cell"	0.0133333333333333
"347"	"b.cell"	"non.classical.monocyte"	0.0133111480865225
"174"	"mesothelial.cell"	"pericyte.cell"	0.0132890365448505
"289"	"myofibroblast.cell"	"alveolar.macrophage"	0.0132340777502068
"476"	"lung.microvascular.endothelial.cell"	"fibroblast"	0.0131578947368421
"453"	"type.i.pneumocyte"	"myofibroblast.cell"	0.0130568356374808
"55"	"fibroblast"	"pulmonary.ionocyte..type.II.pneumocyte"	0.0130168453292496
"115"	"cd8.positive..alpha.beta.t.cell"	"capillary.endothelial.cell"	0.0129672006102212
"527"	"serous.cell.of.epithelium.of.bronchus"	"fibroblast.1"	0.0128700128700129
"391"	"capillary.endothelial.cell"	"lymphocyte"	0.0128205128205128
"117"	"adventitial.cell"	"capillary.endothelial.cell"	0.0127723516153268
"333"	"plasmacytoid.dendritic.cell"	"classical.monocyte"	0.0127659574468085
"258"	"pulmonary.ionocyte"	"neutrophil"	0.0124951190941039
"93"	"fibroblast"	"pulmonary.artery.endothelial.cell"	0.0122417750573833
"255"	"pericyte.cell"	"neutrophil"	0.0122417750573833
"267"	"cd8.positive..alpha.beta.t.cell"	"alveolar.macrophage"	0.0122295390404516
"434"	"endothelial.cell.of.lymphatic.vessel"	"myofibroblast.cell"	0.0122174709835064
"471"	"endothelial.cell.of.artery"	"fibroblast"	0.0121359223300971
"392"	"classical.monocyte"	"lymphocyte"	0.0121212121212121
"431"	"club.cell"	"myofibroblast.cell"	0.0121212121212121
"105"	"plasmacytoid.dendritic.cell"	"pulmonary.artery.endothelial.cell"	0.0121116377040548
"101"	"nk.cell"	"pulmonary.artery.endothelial.cell"	0.012035010940919
"525"	"respiratory.goblet.cell"	"fibroblast.1"	0.0119250425894378
"3"	"adventitial.cell"	"ciliated.epithelial.cell"	0.0118069815195072
"185"	"serous.cell.of.epithelium.of.bronchus"	"pericyte.cell"	0.0116999311768754
"515"	"macrophage"	"fibroblast.1"	0.0116731517509728
"529"	"type.i.pneumocyte"	"fibroblast.1"	0.0115651503469545
"11"	"capillary.endothelial.cell"	"ciliated.epithelial.cell"	0.0114394661582459
"132"	"intermediate.monocyte"	"capillary.endothelial.cell"	0.0113821138211382
"438"	"lung.microvascular.endothelial.cell"	"myofibroblast.cell"	0.0113268608414239
"213"	"myofibroblast.cell"	"B.cell"	0.0111957008508733
"490"	"smooth.muscle.cell"	"fibroblast"	0.011119936457506
"522"	"plasma.cell"	"fibroblast.1"	0.0110619469026549
"302"	"type.ii.pneumocyte"	"alveolar.macrophage"	0.0110552763819095
"79"	"adventitial.cell"	"pulmonary.artery.endothelial.cell"	0.0110497237569061
"52"	"dendritic.cell"	"pulmonary.ionocyte..type.II.pneumocyte"	0.0110041265474553
"395"	"endothelial.cell.of.artery"	"lymphocyte"	0.010989010989011
"46"	"bronchial.smooth.muscle.cell"	"pulmonary.ionocyte..type.II.pneumocyte"	0.010934393638171
"84"	"bronchial.smooth.muscle.cell"	"pulmonary.artery.endothelial.cell"	0.010934393638171
"63"	"nk.cell"	"pulmonary.ionocyte..type.II.pneumocyte"	0.0109289617486339
