"Human"	"Mouse"	"value"
"225"	"hematopoietic.stem.cell"	"mature.NK.T.cell"	0.00776531492666091
"107"	"intermediate.monocyte"	"mesenchymal.stem.cell"	0.00769230769230769
"211"	"nk.cell"	"follicular.B.cell"	0.00766283524904215
"86"	"memory.b.cell"	"T1.B.cell"	0.00749063670411985
"61"	"mature.nk.t.cell"	"plasmacytoid.dendritic.cell"	0.00733496332518337
"281"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"activated.CD4.positive..alpha.beta.T.cell"	0.00727272727272727
"103"	"endothelial.cell"	"mesenchymal.stem.cell"	0.00715015321756895
"167"	"regulatory.t.cell"	"conventional.dendritic.cell"	0.00714285714285714
"228"	"macrophage"	"mature.NK.T.cell"	0.00713557594291539
"164"	"plasma.cell"	"conventional.dendritic.cell"	0.0069284064665127
"258"	"neutrophil"	"marginal.zone.B.cell.of.spleen"	0.0069204152249135
"154"	"innate.lymphoid.cell"	"conventional.dendritic.cell"	0.00686813186813187
"41"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"macrophage"	0.00685871056241427
"271"	"endothelial.cell"	"activated.CD4.positive..alpha.beta.T.cell"	0.00684931506849315
"261"	"plasmacytoid.dendritic.cell"	"marginal.zone.B.cell.of.spleen"	0.00671140939597315
"45"	"plasmacytoid.dendritic.cell"	"macrophage"	0.00661157024793388
"20"	"plasma.cell"	"epithelial.cell"	0.00653061224489796
"48"	"type.i.nk.t.cell"	"macrophage"	0.00647668393782383
"108"	"macrophage"	"mesenchymal.stem.cell"	0.00637393767705382
"199"	"endothelial.cell"	"follicular.B.cell"	0.00630517023959647
"252"	"macrophage"	"marginal.zone.B.cell.of.spleen"	0.00625782227784731
"151"	"endothelial.cell"	"conventional.dendritic.cell"	0.00623700623700624
"159"	"naive.b.cell"	"conventional.dendritic.cell"	0.00622406639004149
"17"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"epithelial.cell"	0.00616740088105727
"72"	"type.i.nk.t.cell"	"plasmacytoid.dendritic.cell"	0.00609756097560976
"272"	"erythrocyte"	"activated.CD4.positive..alpha.beta.T.cell"	0.00608519269776876
"273"	"hematopoietic.stem.cell"	"activated.CD4.positive..alpha.beta.T.cell"	0.00606673407482305
"158"	"memory.b.cell"	"conventional.dendritic.cell"	0.00604229607250755
"224"	"erythrocyte"	"mature.NK.T.cell"	0.00601503759398496
"263"	"regulatory.t.cell"	"marginal.zone.B.cell.of.spleen"	0.00584795321637427
"64"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"plasmacytoid.dendritic.cell"	0.00576368876080692
"39"	"naive.b.cell"	"macrophage"	0.00575373993095512
"176"	"erythrocyte"	"natural.killer.cell"	0.00571428571428571
"202"	"innate.lymphoid.cell"	"follicular.B.cell"	0.00568990042674253
"153"	"hematopoietic.stem.cell"	"conventional.dendritic.cell"	0.00567644276253548
"129"	"hematopoietic.stem.cell"	"monocyte"	0.0056710775047259
"236"	"plasma.cell"	"mature.NK.T.cell"	0.00557620817843866
"38"	"memory.b.cell"	"macrophage"	0.00557103064066852
"15"	"naive.b.cell"	"epithelial.cell"	0.00549019607843137
"88"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"T1.B.cell"	0.00547195622435021
"109"	"mature.nk.t.cell"	"mesenchymal.stem.cell"	0.00543478260869565
"237"	"plasmacytoid.dendritic.cell"	"mature.NK.T.cell"	0.00538213132400431
"191"	"regulatory.t.cell"	"natural.killer.cell"	0.00535714285714286
"152"	"erythrocyte"	"conventional.dendritic.cell"	0.0053475935828877
"329"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"naive.thymus.derived.CD8.positive..alpha.beta.T.cell"	0.00523560209424084
"189"	"plasmacytoid.dendritic.cell"	"natural.killer.cell"	0.00518672199170124
"346"	"innate.lymphoid.cell"	"naive.thymus.derived.CD4.positive..alpha.beta.T.cell"	0.00515463917525773
"65"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"plasmacytoid.dendritic.cell"	0.0051413881748072
"221"	"cd141.positive.myeloid.dendritic.cell"	"mature.NK.T.cell"	0.00513698630136986
"353"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"naive.thymus.derived.CD4.positive..alpha.beta.T.cell"	0.00510204081632653
"114"	"neutrophil"	"mesenchymal.stem.cell"	0.00507900677200903
"262"	"platelet"	"marginal.zone.B.cell.of.spleen"	0.00504095778197858
"245"	"cd141.positive.myeloid.dendritic.cell"	"marginal.zone.B.cell.of.spleen"	0.00498753117206983
"194"	"cd4.positive..alpha.beta.memory.t.cell"	"follicular.B.cell"	0.00492610837438424
"44"	"plasma.cell"	"macrophage"	0.0048721071863581
"165"	"plasmacytoid.dendritic.cell"	"conventional.dendritic.cell"	0.00484848484848485
"279"	"naive.b.cell"	"activated.CD4.positive..alpha.beta.T.cell"	0.00481927710843374
"222"	"classical.monocyte"	"mature.NK.T.cell"	0.00475435816164818
"106"	"innate.lymphoid.cell"	"mesenchymal.stem.cell"	0.00474308300395257
"140"	"plasma.cell"	"monocyte"	0.00459770114942529
"230"	"memory.b.cell"	"mature.NK.T.cell"	0.00458715596330275
"197"	"cd141.positive.myeloid.dendritic.cell"	"follicular.B.cell"	0.00440528634361234
"146"	"cd4.positive..alpha.beta.memory.t.cell"	"conventional.dendritic.cell"	0.00436681222707424
"270"	"classical.monocyte"	"activated.CD4.positive..alpha.beta.T.cell"	0.00435729847494553
"312"	"type.i.nk.t.cell"	"CD8.positive..alpha.beta.memory.T.cell"	0.00434782608695652
"247"	"endothelial.cell"	"marginal.zone.B.cell.of.spleen"	0.00429000429000429
"74"	"cd4.positive..alpha.beta.memory.t.cell"	"T1.B.cell"	0.00427960057061341
"275"	"intermediate.monocyte"	"activated.CD4.positive..alpha.beta.T.cell"	0.00427960057061341
"282"	"neutrophil"	"activated.CD4.positive..alpha.beta.T.cell"	0.00427350427350427
"349"	"mature.nk.t.cell"	"naive.thymus.derived.CD4.positive..alpha.beta.T.cell"	0.00420168067226891
"135"	"naive.b.cell"	"monocyte"	0.00413223140495868
"285"	"plasmacytoid.dendritic.cell"	"activated.CD4.positive..alpha.beta.T.cell"	0.00395778364116095
"124"	"cd8.positive..alpha.beta.t.cell"	"monocyte"	0.003933910306845
"37"	"mature.nk.t.cell"	"macrophage"	0.00388098318240621
"160"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"conventional.dendritic.cell"	0.00384615384615385
"278"	"memory.b.cell"	"activated.CD4.positive..alpha.beta.T.cell"	0.00378787878787879
"213"	"plasmacytoid.dendritic.cell"	"follicular.B.cell"	0.00375
"200"	"erythrocyte"	"follicular.B.cell"	0.00373134328358209
"335"	"regulatory.t.cell"	"naive.thymus.derived.CD8.positive..alpha.beta.T.cell"	0.00371747211895911
"276"	"macrophage"	"activated.CD4.positive..alpha.beta.T.cell"	0.00369458128078818
"89"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"T1.B.cell"	0.00367647058823529
"163"	"nk.cell"	"conventional.dendritic.cell"	0.00363636363636364
"141"	"plasmacytoid.dendritic.cell"	"monocyte"	0.00362756952841596
"128"	"erythrocyte"	"monocyte"	0.00355239786856128
"68"	"plasma.cell"	"plasmacytoid.dendritic.cell"	0.00344827586206897
"231"	"naive.b.cell"	"mature.NK.T.cell"	0.00340136054421769
"24"	"type.i.nk.t.cell"	"epithelial.cell"	0.00338696020321761
"253"	"mature.nk.t.cell"	"marginal.zone.B.cell.of.spleen"	0.00325732899022801
"183"	"naive.b.cell"	"natural.killer.cell"	0.00321027287319422
"209"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"follicular.B.cell"	0.00314465408805031
"250"	"innate.lymphoid.cell"	"marginal.zone.B.cell.of.spleen"	0.00306748466257669
