"Spleen"	"Bone marrow"	"value"
"69"	"plasmacytoid.dendritic.cell"	"cd24.neutrophil"	0.00623052959501558
"7"	"endothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.00622406639004149
"158"	"memory.b.cell"	"hematopoietic.stem.cell"	0.00618238021638331
"307"	"nk.cell"	"nampt.neutrophil"	0.00610287707061901
"331"	"nk.cell"	"neutrophil"	0.00609756097560976
"49"	"cd1c.positive.myeloid.dendritic.cell"	"cd24.neutrophil"	0.00608519269776876
"21"	"plasmacytoid.dendritic.cell"	"cd4.positive..alpha.beta.t.cell"	0.0060313630880579
"77"	"cd141.positive.myeloid.dendritic.cell"	"erythrocyte"	0.00596658711217184
"246"	"classical.monocyte"	"myeloid.progenitor"	0.00589970501474926
"179"	"intermediate.monocyte"	"macrophage"	0.00587659157688541
"345"	"hematopoietic.stem.cell"	"nk.cell"	0.0058343057176196
"17"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.00574712643678161
"217"	"cd1c.positive.myeloid.dendritic.cell"	"monocyte"	0.00566037735849057
"68"	"plasma.cell"	"cd24.neutrophil"	0.00559284116331096
"282"	"neutrophil"	"naive.b.cell"	0.00557620817843866
"263"	"regulatory.t.cell"	"myeloid.progenitor"	0.00548245614035088
"19"	"nk.cell"	"cd4.positive..alpha.beta.t.cell"	0.00541516245487365
"83"	"intermediate.monocyte"	"erythrocyte"	0.00532386867790594
"53"	"cd141.positive.myeloid.dendritic.cell"	"cd24.neutrophil"	0.00531914893617021
"288"	"type.i.nk.t.cell"	"naive.b.cell"	0.00523560209424084
"13"	"mature.nk.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.00512820512820513
"24"	"type.i.nk.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0051150895140665
"148"	"cd8.positive..alpha.beta.t.cell"	"hematopoietic.stem.cell"	0.00504731861198738
"92"	"plasma.cell"	"erythrocyte"	0.00504413619167718
"67"	"nk.cell"	"cd24.neutrophil"	0.00495049504950495
"119"	"regulatory.t.cell"	"erythroid.progenitor"	0.00493583415597236
"311"	"regulatory.t.cell"	"nampt.neutrophil"	0.00490196078431373
"56"	"erythrocyte"	"cd24.neutrophil"	0.00489236790606654
"88"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"erythrocyte"	0.00484652665589661
"292"	"cd8.positive..alpha.beta.t.cell"	"nampt.neutrophil"	0.00481798715203426
"354"	"neutrophil"	"nk.cell"	0.00474934036939314
"40"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.00462962962962963
"382"	"platelet"	"plasma.cell"	0.00458978772231784
"264"	"type.i.nk.t.cell"	"myeloid.progenitor"	0.00455580865603645
"12"	"macrophage"	"cd4.positive..alpha.beta.t.cell"	0.00452488687782805
"191"	"regulatory.t.cell"	"macrophage"	0.00444444444444444
"367"	"endothelial.cell"	"plasma.cell"	0.00442477876106195
"270"	"classical.monocyte"	"naive.b.cell"	0.00441988950276243
"91"	"nk.cell"	"erythrocyte"	0.0044004400440044
"130"	"innate.lymphoid.cell"	"granulocyte"	0.0044004400440044
"89"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"erythrocyte"	0.0042674253200569
"329"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"neutrophil"	0.00423728813559322
"195"	"cd8.positive..alpha.beta.memory.t.cell"	"memory.b.cell"	0.00413223140495868
