"Trachea"	"Skeletal muscle"	"value"
"145"	"cd8.positive..alpha.beta.t.cell"	"fast.muscle.cell"	0.00699300699300699
"312"	"macrophage"	"slow.muscle.cell"	0.0069848661233993
"157"	"secretory.cell"	"fast.muscle.cell"	0.00697211155378486
"263"	"basal.cell"	"pericyte.cell"	0.00694444444444444
"5"	"cd8.positive..alpha.beta.t.cell"	"capillary.endothelial.cell"	0.0069101678183613
"226"	"ciliated.cell"	"mesenchymal.stem.cell"	0.00685518423307626
"17"	"secretory.cell"	"capillary.endothelial.cell"	0.00684931506849315
"117"	"secretory.cell"	"endothelial.cell.of.vascular.tree"	0.00674536256323777
"35"	"neutrophil"	"cd4.positive..alpha.beta.t.cell"	0.00668337510442774
"135"	"neutrophil"	"erythrocyte"	0.00667302192564347
"196"	"plasma.cell"	"mast.cell"	0.00666666666666667
"96"	"plasma.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00658761528326746
"138"	"serous.cell.of.epithelium.of.trachea"	"erythrocyte"	0.00649350649350649
"229"	"endothelial.cell"	"mesenchymal.stem.cell"	0.00646087580760948
"26"	"ciliated.cell"	"cd4.positive..alpha.beta.t.cell"	0.0064486411791801
"122"	"b.cell"	"erythrocyte"	0.00642398286937901
"2"	"b.cell"	"capillary.endothelial.cell"	0.00634249471458774
"106"	"ciliated.cell"	"endothelial.cell.of.vascular.tree"	0.00634249471458774
"358"	"serous.cell.of.epithelium.of.trachea"	"t.cell"	0.00634057971014493
"266"	"ciliated.cell"	"pericyte.cell"	0.00628084342754599
"176"	"plasma.cell"	"macrophage"	0.00612959719789842
"302"	"b.cell"	"slow.muscle.cell"	0.00603621730382294
"261"	"goblet.cell"	"pericyte.cell"	0.00602409638554217
"62"	"b.cell"	"endothelial.cell.of.artery"	0.00601805416248746
"262"	"b.cell"	"pericyte.cell"	0.00594353640416048
"274"	"mucus.secreting.cell"	"pericyte.cell"	0.00586510263929619
"372"	"macrophage"	"tendon.cell"	0.00583657587548638
"46"	"ciliated.cell"	"cd8.positive..alpha.beta.t.cell"	0.00573698146513681
"20"	"t.cell"	"capillary.endothelial.cell"	0.00573065902578797
"64"	"cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.artery"	0.00557413600891862
"43"	"basal.cell"	"cd8.positive..alpha.beta.t.cell"	0.00554938956714761
"181"	"goblet.cell"	"mast.cell"	0.00549450549450549
"317"	"secretory.cell"	"slow.muscle.cell"	0.0054858934169279
"238"	"serous.cell.of.epithelium.of.trachea"	"mesenchymal.stem.cell"	0.00538213132400431
"16"	"plasma.cell"	"capillary.endothelial.cell"	0.00535475234270415
"341"	"goblet.cell"	"t.cell"	0.00527983104540655
"108"	"double.positive..alpha.beta.thymocyte"	"endothelial.cell.of.vascular.tree"	0.00525486074619023
"189"	"endothelial.cell"	"mast.cell"	0.00524475524475524
"38"	"serous.cell.of.epithelium.of.trachea"	"cd4.positive..alpha.beta.t.cell"	0.00522875816993464
"325"	"cd8.positive..alpha.beta.t.cell"	"smooth.muscle.cell"	0.00519480519480519
"222"	"b.cell"	"mesenchymal.stem.cell"	0.00512820512820513
"169"	"endothelial.cell"	"macrophage"	0.00510725229826353
"233"	"mast.cell"	"mesenchymal.stem.cell"	0.00508646998982706
"234"	"mucus.secreting.cell"	"mesenchymal.stem.cell"	0.00506970849176172
"324"	"cd4.positive..alpha.beta.t.cell"	"smooth.muscle.cell"	0.00506585612968592
"47"	"connective.tissue.cell"	"cd8.positive..alpha.beta.t.cell"	0.00505050505050505
"23"	"basal.cell"	"cd4.positive..alpha.beta.t.cell"	0.00495049504950495
"374"	"mucus.secreting.cell"	"tendon.cell"	0.00494437577255871
"142"	"b.cell"	"fast.muscle.cell"	0.00490998363338789
"152"	"macrophage"	"fast.muscle.cell"	0.00482425913163336
"32"	"macrophage"	"cd4.positive..alpha.beta.t.cell"	0.00473372781065089
"200"	"t.cell"	"mast.cell"	0.00468933177022274
"245"	"cd8.positive..alpha.beta.t.cell"	"mesothelial.cell"	0.00467289719626168
"316"	"plasma.cell"	"slow.muscle.cell"	0.00464037122969838
"321"	"goblet.cell"	"smooth.muscle.cell"	0.0046339202965709
"337"	"secretory.cell"	"smooth.muscle.cell"	0.00458715596330275
"272"	"macrophage"	"pericyte.cell"	0.0044296788482835
"179"	"smooth.muscle.cell"	"macrophage"	0.00438321853475266
"121"	"goblet.cell"	"erythrocyte"	0.00435729847494553
"52"	"macrophage"	"cd8.positive..alpha.beta.t.cell"	0.00425985090521832
"368"	"double.positive..alpha.beta.thymocyte"	"tendon.cell"	0.00422163588390501
