"Bone marrow"	"Tongue"	"value"
"176"	"plasma.cell"	"tongue.muscle.cell"	0.00287769784172662
"77"	"nampt.neutrophil"	"epithelial.cell"	0.00271985494106981
"129"	"cd4.positive..alpha.beta.t.cell"	"pericyte.cell"	0.00264550264550265
"22"	"granulocyte"	"capillary.endothelial.cell"	0.00254129606099111
"192"	"plasma.cell"	"vein.endothelial.cell"	0.0022075055187638
"67"	"cd24.neutrophil"	"epithelial.cell"	0.00207253886010363
"65"	"cd4.positive..alpha.beta.t.cell"	"epithelial.cell"	0.00196850393700787
"73"	"memory.b.cell"	"epithelial.cell"	0.00186915887850467
"79"	"nk.cell"	"epithelial.cell"	0.00171969045571797
"2"	"cd8.positive..alpha.beta.t.cell"	"basal.cell"	0.00145772594752187
"162"	"cd8.positive..alpha.beta.t.cell"	"tongue.muscle.cell"	0.00126262626262626
"122"	"monocyte"	"keratinocyte"	0
