"Lung"	"Spleen"	"value"
"16"	"endothelial.cell.of.lymphatic.vessel"	"cd1c.positive.myeloid.dendritic.cell"	0.0136054421768707
"695"	"capillary.endothelial.cell"	"nk.cell"	0.0135790494665373
"129"	"endothelial.cell.of.artery"	"cd8.positive..alpha.beta.t.cell"	0.013530135301353
"399"	"lung.ciliated.cell"	"intermediate.monocyte"	0.0134907251264755
"277"	"capillary.endothelial.cell"	"erythrocyte"	0.0134228187919463
"22"	"mesothelial.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.0134146341463415
"708"	"neutrophil"	"nk.cell"	0.0133868808567604
"548"	"endothelial.cell.of.lymphatic.vessel"	"naive.b.cell"	0.0133418043202033
"795"	"type.i.pneumocyte"	"plasmacytoid.dendritic.cell"	0.0132911392405063
"539"	"basophil"	"naive.b.cell"	0.0132547864506627
"291"	"nk.cell"	"erythrocyte"	0.0132085855806274
"787"	"pericyte.cell"	"plasmacytoid.dendritic.cell"	0.0132013201320132
"542"	"capillary.aerocyte"	"naive.b.cell"	0.013184584178499
"374"	"respiratory.mucous.cell"	"innate.lymphoid.cell"	0.0131180625630676
"549"	"fibroblast"	"naive.b.cell"	0.0130693069306931
"119"	"b.cell"	"cd8.positive..alpha.beta.t.cell"	0.0130404941660947
"167"	"endothelial.cell.of.artery"	"cd141.positive.myeloid.dendritic.cell"	0.0130331753554502
"555"	"myofibroblast.cell"	"naive.b.cell"	0.0130051091500232
"841"	"b.cell"	"regulatory.t.cell"	0.012987012987013
"483"	"pericyte.cell"	"mature.nk.t.cell"	0.0129749768303985
"615"	"basophil"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.0129390018484288
"199"	"bronchial.vessel.endothelial.cell"	"classical.monocyte"	0.0128840436075322
"314"	"capillary.aerocyte"	"hematopoietic.stem.cell"	0.0128452151573539
"224"	"smooth.muscle.cell"	"classical.monocyte"	0.0128398791540786
"686"	"cd4.positive..alpha.beta.t.cell"	"nk.cell"	0.0127659574468085
"364"	"mesothelial.cell"	"innate.lymphoid.cell"	0.012720156555773
"135"	"macrophage"	"cd8.positive..alpha.beta.t.cell"	0.0127005347593583
"200"	"capillary.aerocyte"	"classical.monocyte"	0.012621359223301
"326"	"mesothelial.cell"	"hematopoietic.stem.cell"	0.0126112759643917
"234"	"basal.cell"	"endothelial.cell"	0.0125342734038386
"261"	"serous.cell.of.epithelium.of.bronchus"	"endothelial.cell"	0.0125284738041002
"388"	"bronchial.smooth.muscle.cell"	"intermediate.monocyte"	0.0124895920066611
"124"	"capillary.aerocyte"	"cd8.positive..alpha.beta.t.cell"	0.012450481041313
"310"	"basal.cell"	"hematopoietic.stem.cell"	0.0123660346248969
"235"	"basophil"	"endothelial.cell"	0.0123504438440756
"141"	"pericyte.cell"	"cd8.positive..alpha.beta.t.cell"	0.0122636688809402
"655"	"bronchial.vessel.endothelial.cell"	"neutrophil"	0.0122448979591837
"345"	"adventitial.cell"	"innate.lymphoid.cell"	0.012241054613936
"799"	"cd8.positive..alpha.beta.t.cell"	"platelet"	0.0121703853955375
"341"	"vascular.associated.smooth.muscle.cell"	"hematopoietic.stem.cell"	0.0121328224776501
"303"	"vascular.associated.smooth.muscle.cell"	"erythrocyte"	0.0121155638397018
"389"	"bronchial.vessel.endothelial.cell"	"intermediate.monocyte"	0.012
"486"	"pulmonary.ionocyte"	"mature.nk.t.cell"	0.0119914346895075
"881"	"basophil"	"type.i.nk.t.cell"	0.011986301369863
"317"	"club.cell"	"hematopoietic.stem.cell"	0.011965811965812
"290"	"neutrophil"	"erythrocyte"	0.0119363395225464
"21"	"macrophage"	"cd1c.positive.myeloid.dendritic.cell"	0.0118421052631579
"279"	"club.cell"	"erythrocyte"	0.0118168389955687
"873"	"vascular.associated.smooth.muscle.cell"	"regulatory.t.cell"	0.0117773019271949
"438"	"lung.microvascular.endothelial.cell"	"macrophage"	0.0115789473684211
"414"	"smooth.muscle.cell"	"intermediate.monocyte"	0.0114942528735632
"217"	"pericyte.cell"	"classical.monocyte"	0.0114660114660115
"125"	"capillary.endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.011441647597254
"8"	"bronchial.smooth.muscle.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.0114345114345114
"194"	"alveolar.fibroblast"	"classical.monocyte"	0.0114285714285714
"836"	"vein.endothelial.cell"	"platelet"	0.0114285714285714
"650"	"alveolar.fibroblast"	"neutrophil"	0.0113851992409867
"684"	"vein.endothelial.cell"	"neutrophil"	0.0113293051359517
"219"	"plasmacytoid.dendritic.cell"	"classical.monocyte"	0.0113085621970921
"721"	"vascular.associated.smooth.muscle.cell"	"nk.cell"	0.0112994350282486
"378"	"type.ii.pneumocyte"	"innate.lymphoid.cell"	0.0112936344969199
"533"	"cd8.positive..alpha.beta.t.cell"	"naive.b.cell"	0.0112781954887218
"623"	"endothelial.cell.of.artery"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.0112676056338028
"269"	"adventitial.cell"	"erythrocyte"	0.0111607142857143
"849"	"club.cell"	"regulatory.t.cell"	0.0111524163568773
"185"	"serous.cell.of.epithelium.of.bronchus"	"cd141.positive.myeloid.dendritic.cell"	0.0110957004160888
