"Spleen"	"Lung"	"value"
"273"	"hematopoietic.stem.cell"	"classical.monocyte"	0.0167330677290837
"378"	"neutrophil"	"endothelial.cell.of.lymphatic.vessel"	0.016414686825054
"354"	"neutrophil"	"endothelial.cell.of.artery"	0.0163522012578616
"149"	"cd141.positive.myeloid.dendritic.cell"	"basophil"	0.0163204747774481
"226"	"innate.lymphoid.cell"	"capillary.aerocyte"	0.0162999185004075
"821"	"cd141.positive.myeloid.dendritic.cell"	"type.i.pneumocyte"	0.0162074554294976
"235"	"nk.cell"	"capillary.aerocyte"	0.0162059103908484
"848"	"erythrocyte"	"type.ii.pneumocyte"	0.0161892901618929
"695"	"regulatory.t.cell"	"plasmacytoid.dendritic.cell"	0.0160550458715596
"753"	"hematopoietic.stem.cell"	"respiratory.mucous.cell"	0.015993907083016
"295"	"endothelial.cell"	"club.cell"	0.0159936025589764
"851"	"intermediate.monocyte"	"type.ii.pneumocyte"	0.0158730158730159
"635"	"intermediate.monocyte"	"pericyte.cell"	0.015807560137457
"642"	"neutrophil"	"pericyte.cell"	0.0156331422615946
"559"	"endothelial.cell"	"neutrophil"	0.0156156156156156
"716"	"plasma.cell"	"pulmonary.ionocyte"	0.0155789473684211
"804"	"macrophage"	"smooth.muscle.cell"	0.0155781905332534
"591"	"naive.b.cell"	"nk.cell"	0.0155619596541787
"316"	"cd8.positive..alpha.beta.t.cell"	"dendritic.cell"	0.015547703180212
"177"	"hematopoietic.stem.cell"	"bronchial.smooth.muscle.cell"	0.0154986522911051
"157"	"mature.nk.t.cell"	"basophil"	0.0154905335628227
"729"	"hematopoietic.stem.cell"	"respiratory.goblet.cell"	0.0154545454545455
"162"	"neutrophil"	"basophil"	0.0154494382022472
"680"	"erythrocyte"	"plasmacytoid.dendritic.cell"	0.0153927813163482
"874"	"innate.lymphoid.cell"	"vascular.associated.smooth.muscle.cell"	0.0153721682847896
"639"	"naive.b.cell"	"pericyte.cell"	0.0153452685421995
"444"	"macrophage"	"lung.ciliated.cell"	0.0153411384739604
"615"	"naive.b.cell"	"non.classical.monocyte"	0.0153374233128834
"525"	"plasmacytoid.dendritic.cell"	"mesothelial.cell"	0.0152603231597846
"539"	"intermediate.monocyte"	"myofibroblast.cell"	0.0152200740436035
"847"	"endothelial.cell"	"type.ii.pneumocyte"	0.0151975683890578
"57"	"hematopoietic.stem.cell"	"adventitial.cell"	0.0151734104046243
"189"	"plasmacytoid.dendritic.cell"	"bronchial.smooth.muscle.cell"	0.0151515151515152
"714"	"neutrophil"	"pulmonary.ionocyte"	0.0151371807000946
"751"	"endothelial.cell"	"respiratory.mucous.cell"	0.01508864579404
"478"	"platelet"	"lung.microvascular.endothelial.cell"	0.015063731170336
