"Lung"	"Trachea"	"value"
"157"	"b.cell"	"cd8.positive..alpha.beta.t.cell"	0.0134638922888617
"288"	"mesothelial.cell"	"double.positive..alpha.beta.thymocyte"	0.0134436401240951
"387"	"basophil"	"ionocyte"	0.0133735979292494
"680"	"smooth.muscle.cell"	"serous.cell.of.epithelium.of.trachea"	0.0133244503664224
"164"	"classical.monocyte"	"cd8.positive..alpha.beta.t.cell"	0.0132689987937274
"656"	"capillary.aerocyte"	"serous.cell.of.epithelium.of.trachea"	0.0132560066280033
"654"	"bronchial.smooth.muscle.cell"	"serous.cell.of.epithelium.of.trachea"	0.0131810193321617
"474"	"intermediate.monocyte"	"mast.cell"	0.0131578947368421
"559"	"pericyte.cell"	"neutrophil"	0.013136288998358
"55"	"fibroblast"	"b.cell"	0.0130869899923018
"273"	"basophil"	"double.positive..alpha.beta.thymocyte"	0.0130647795318454
"200"	"capillary.aerocyte"	"ciliated.cell"	0.0130518234165067
"170"	"intermediate.monocyte"	"cd8.positive..alpha.beta.t.cell"	0.0128805620608899
"751"	"plasmacytoid.dendritic.cell"	"t.cell"	0.0128283445326817
"284"	"intermediate.monocyte"	"double.positive..alpha.beta.thymocyte"	0.0128205128205128
"287"	"macrophage"	"double.positive..alpha.beta.thymocyte"	0.0128068303094984
"516"	"mesothelial.cell"	"mucus.secreting.cell"	0.0128055878928987
"86"	"capillary.aerocyte"	"basal.cell"	0.0128
"66"	"plasma.cell"	"b.cell"	0.0127659574468085
"299"	"serous.cell.of.epithelium.of.bronchus"	"double.positive..alpha.beta.thymocyte"	0.0127591706539075
"17"	"fibroblast"	"goblet.cell"	0.0127413127413127
"113"	"vascular.associated.smooth.muscle.cell"	"basal.cell"	0.0127186009538951
"59"	"macrophage"	"b.cell"	0.0126742712294043
"491"	"type.i.pneumocyte"	"mast.cell"	0.012532981530343
"19"	"lung.ciliated.cell"	"goblet.cell"	0.0125290023201856
"162"	"capillary.aerocyte"	"cd8.positive..alpha.beta.t.cell"	0.0124223602484472
"549"	"fibroblast"	"neutrophil"	0.0122680088078012
"121"	"basophil"	"cd4.positive..alpha.beta.t.cell"	0.0122511485451761
"16"	"endothelial.cell.of.lymphatic.vessel"	"goblet.cell"	0.0121951219512195
"148"	"smooth.muscle.cell"	"cd4.positive..alpha.beta.t.cell"	0.0119521912350598
"727"	"b.cell"	"t.cell"	0.0119047619047619
"334"	"pulmonary.ionocyte"	"endothelial.cell"	0.0118741976893453
"429"	"capillary.endothelial.cell"	"macrophage"	0.0118389897395422
"72"	"smooth.muscle.cell"	"b.cell"	0.0118081180811808
"494"	"vein.endothelial.cell"	"mast.cell"	0.0117785630153121
