"Spleen"	"Skeletal muscle"	"value"
"299"	"intermediate.monocyte"	"mesothelial.cell"	0.0170092133238838
"380"	"plasma.cell"	"slow.muscle.cell"	0.01698670605613
"81"	"hematopoietic.stem.cell"	"endothelial.cell.of.artery"	0.0168690958164642
"327"	"naive.b.cell"	"pericyte.cell"	0.0168634064080944
"322"	"innate.lymphoid.cell"	"pericyte.cell"	0.016726403823178
"320"	"erythrocyte"	"pericyte.cell"	0.0163934426229508
"378"	"neutrophil"	"slow.muscle.cell"	0.0162866449511401
"247"	"endothelial.cell"	"mature.nk.t.cell"	0.0162472124880535
"222"	"classical.monocyte"	"mast.cell"	0.0160377358490566
"260"	"plasma.cell"	"mature.nk.t.cell"	0.0160067396798652
"76"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.artery"	0.0159574468085106
"63"	"naive.b.cell"	"cd8.positive..alpha.beta.t.cell"	0.0158982511923688
"273"	"hematopoietic.stem.cell"	"mesenchymal.stem.cell"	0.0157728706624606
"392"	"erythrocyte"	"smooth.muscle.cell"	0.0157261794634598
"292"	"cd8.positive..alpha.beta.t.cell"	"mesothelial.cell"	0.0157232704402516
"346"	"innate.lymphoid.cell"	"skeletal.muscle.satellite.stem.cell"	0.0157232704402516
"11"	"intermediate.monocyte"	"capillary.endothelial.cell"	0.015693112467306
"107"	"intermediate.monocyte"	"endothelial.cell.of.lymphatic.vessel"	0.0155172413793103
"286"	"platelet"	"mesenchymal.stem.cell"	0.0155080213903743
"348"	"macrophage"	"skeletal.muscle.satellite.stem.cell"	0.015426497277677
"294"	"classical.monocyte"	"mesothelial.cell"	0.0153321976149915
"444"	"macrophage"	"tendon.cell"	0.0153015301530153
"66"	"neutrophil"	"cd8.positive..alpha.beta.t.cell"	0.0152616279069767
"389"	"cd141.positive.myeloid.dendritic.cell"	"smooth.muscle.cell"	0.014985014985015
"39"	"naive.b.cell"	"cd4.positive..alpha.beta.t.cell"	0.0148975791433892
"8"	"erythrocyte"	"capillary.endothelial.cell"	0.0148462354188759
"131"	"intermediate.monocyte"	"endothelial.cell.of.vascular.tree"	0.0148221343873518
"454"	"platelet"	"tendon.cell"	0.014806980433633
"129"	"hematopoietic.stem.cell"	"endothelial.cell.of.vascular.tree"	0.014626635873749
"130"	"innate.lymphoid.cell"	"endothelial.cell.of.vascular.tree"	0.0143737166324435
"385"	"cd1c.positive.myeloid.dendritic.cell"	"smooth.muscle.cell"	0.0143129770992366
"324"	"macrophage"	"pericyte.cell"	0.0141843971631206
"80"	"erythrocyte"	"endothelial.cell.of.artery"	0.0140845070422535
"212"	"plasma.cell"	"macrophage"	0.0140495867768595
"441"	"hematopoietic.stem.cell"	"tendon.cell"	0.013953488372093
"437"	"cd141.positive.myeloid.dendritic.cell"	"tendon.cell"	0.0139470013947001
"308"	"plasma.cell"	"mesothelial.cell"	0.0138376383763838
"255"	"naive.b.cell"	"mature.nk.t.cell"	0.0137318255250404
"416"	"erythrocyte"	"t.cell"	0.0136411332633788
"289"	"cd1c.positive.myeloid.dendritic.cell"	"mesothelial.cell"	0.0136054421768707
"200"	"erythrocyte"	"macrophage"	0.0134629768137622
"241"	"cd1c.positive.myeloid.dendritic.cell"	"mature.nk.t.cell"	0.0132605304212168
"342"	"classical.monocyte"	"skeletal.muscle.satellite.stem.cell"	0.0132450331125828
"50"	"cd4.positive..alpha.beta.memory.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0131926121372032
