"Trachea"	"Bone marrow"	"value"
"158"	"serous.cell.of.epithelium.of.trachea"	"macrophage"	0.00626304801670146
"50"	"fibroblast"	"cd24.neutrophil"	0.00619469026548673
"136"	"plasma.cell"	"hematopoietic.stem.cell"	0.00595238095238095
"110"	"fibroblast"	"granulocyte"	0.00588928150765607
"38"	"serous.cell.of.epithelium.of.trachea"	"cd8.positive..alpha.beta.t.cell"	0.00570125427594071
"134"	"mucus.secreting.cell"	"hematopoietic.stem.cell"	0.00567536889897843
"6"	"ciliated.cell"	"cd4.positive..alpha.beta.t.cell"	0.0056657223796034
"309"	"endothelial.cell"	"plasma.cell"	0.00561347233360064
"76"	"plasma.cell"	"erythrocyte"	0.00559440559440559
"100"	"t.cell"	"erythroid.progenitor"	0.00556173526140156
"270"	"fibroblast"	"neutrophil"	0.00551181102362205
"183"	"basal.cell"	"monocyte"	0.00531914893617021
"235"	"neutrophil"	"naive.b.cell"	0.005273566249176
"241"	"goblet.cell"	"nampt.neutrophil"	0.00523560209424084
"142"	"b.cell"	"macrophage"	0.00493827160493827
"296"	"plasma.cell"	"nk.cell"	0.00493096646942801
"42"	"b.cell"	"cd24.neutrophil"	0.00491642084562439
"56"	"plasma.cell"	"cd24.neutrophil"	0.00489596083231334
"303"	"basal.cell"	"plasma.cell"	0.00484848484848485
"179"	"smooth.muscle.cell"	"memory.b.cell"	0.00475624256837099
"302"	"b.cell"	"plasma.cell"	0.004739336492891
"186"	"ciliated.cell"	"monocyte"	0.0047192071731949
"308"	"double.positive..alpha.beta.thymocyte"	"plasma.cell"	0.00463231036479444
"122"	"b.cell"	"hematopoietic.stem.cell"	0.00458190148911798
"307"	"connective.tissue.cell"	"plasma.cell"	0.00458015267175573
"165"	"cd8.positive..alpha.beta.t.cell"	"memory.b.cell"	0.00457317073170732
"290"	"fibroblast"	"nk.cell"	0.00451467268623025
"243"	"basal.cell"	"nampt.neutrophil"	0.00445103857566766
"44"	"cd4.positive..alpha.beta.t.cell"	"cd24.neutrophil"	0.00436205016357688
"92"	"macrophage"	"erythroid.progenitor"	0.00435413642960813
"82"	"b.cell"	"erythroid.progenitor"	0.00435161009573542
"254"	"mucus.secreting.cell"	"nampt.neutrophil"	0.00429184549356223
"170"	"fibroblast"	"memory.b.cell"	0.0042674253200569
"120"	"t.cell"	"granulocyte"	0.00410677618069815
"311"	"ionocyte"	"plasma.cell"	0.0040650406504065
"37"	"secretory.cell"	"cd8.positive..alpha.beta.t.cell"	0.00389863547758285
"36"	"plasma.cell"	"cd8.positive..alpha.beta.t.cell"	0.00378071833648393
"220"	"t.cell"	"myeloid.progenitor"	0.00375
"217"	"secretory.cell"	"myeloid.progenitor"	0.00360144057623049
"205"	"cd8.positive..alpha.beta.t.cell"	"myeloid.progenitor"	0.0035810205908684
"30"	"fibroblast"	"cd8.positive..alpha.beta.t.cell"	0.00355450236966825
"194"	"mucus.secreting.cell"	"monocyte"	0.00350877192982456
"175"	"neutrophil"	"memory.b.cell"	0.00341005967604433
"157"	"secretory.cell"	"macrophage"	0.00336134453781513
"85"	"cd8.positive..alpha.beta.t.cell"	"erythroid.progenitor"	0.00328407224958949
"200"	"t.cell"	"monocyte"	0.00320512820512821
"277"	"secretory.cell"	"neutrophil"	0.00318471337579618
"96"	"plasma.cell"	"erythroid.progenitor"	0.00315789473684211
"276"	"plasma.cell"	"neutrophil"	0.00313152400835073
"314"	"mucus.secreting.cell"	"plasma.cell"	0.0031104199066874
"39"	"smooth.muscle.cell"	"cd8.positive..alpha.beta.t.cell"	0.00305188199389624
"137"	"secretory.cell"	"hematopoietic.stem.cell"	0.00303951367781155
"188"	"double.positive..alpha.beta.thymocyte"	"monocyte"	0.00301750150875075
"80"	"t.cell"	"erythrocyte"	0.0029940119760479
"10"	"fibroblast"	"cd4.positive..alpha.beta.t.cell"	0.00295420974889217
"77"	"secretory.cell"	"erythrocyte"	0.00285306704707561
"244"	"cd4.positive..alpha.beta.t.cell"	"nampt.neutrophil"	0.00283822138126774
"264"	"cd4.positive..alpha.beta.t.cell"	"neutrophil"	0.00283553875236295
"198"	"serous.cell.of.epithelium.of.trachea"	"monocyte"	0.00281293952180028
"18"	"serous.cell.of.epithelium.of.trachea"	"cd4.positive..alpha.beta.t.cell"	0.00280898876404494
"16"	"plasma.cell"	"cd4.positive..alpha.beta.t.cell"	0.00276243093922652
"22"	"b.cell"	"cd8.positive..alpha.beta.t.cell"	0.00273972602739726
"34"	"mucus.secreting.cell"	"cd8.positive..alpha.beta.t.cell"	0.0027063599458728
"124"	"cd4.positive..alpha.beta.t.cell"	"hematopoietic.stem.cell"	0.00258397932816537
"281"	"goblet.cell"	"nk.cell"	0.00248344370860927
"317"	"secretory.cell"	"plasma.cell"	0.00239234449760766
"167"	"connective.tissue.cell"	"memory.b.cell"	0.00236593059936909
