"Tongue"	"Trachea"	"value"
"11"	"tongue.muscle.cell"	"goblet.cell"	0.00491400491400491
"198"	"fibroblast"	"secretory.cell"	0.00490998363338789
"57"	"pericyte.cell"	"cd8.positive..alpha.beta.t.cell"	0.00488758553274682
"191"	"tongue.muscle.cell"	"plasma.cell"	0.00481540930979133
"109"	"basal.cell"	"fibroblast"	0.00480769230769231
"56"	"keratinocyte"	"cd8.positive..alpha.beta.t.cell"	0.00479041916167665
"184"	"endothelial.cell.of.lymphatic.vessel"	"plasma.cell"	0.00472813238770686
"209"	"epithelial.cell"	"serous.cell.of.epithelium.of.trachea"	0.00466744457409568
"238"	"schwann.cell"	"t.cell"	0.0045757071547421
"149"	"epithelial.cell"	"mast.cell"	0.00439077936333699
"104"	"keratinocyte"	"endothelial.cell"	0.00433839479392625
"140"	"keratinocyte"	"macrophage"	0.00401203610832497
"189"	"pericyte.cell"	"plasma.cell"	0.00396825396825397
"30"	"fibroblast"	"basal.cell"	0.00392156862745098
"6"	"fibroblast"	"goblet.cell"	0.00366300366300366
"90"	"fibroblast"	"double.positive..alpha.beta.thymocyte"	0.00364014560582423
"196"	"endothelial.cell.of.lymphatic.vessel"	"secretory.cell"	0.0036101083032491
"228"	"vein.endothelial.cell"	"smooth.muscle.cell"	0.00359281437125748
"162"	"fibroblast"	"mucus.secreting.cell"	0.003584229390681
"73"	"basal.cell"	"connective.tissue.cell"	0.00358166189111748
"188"	"keratinocyte"	"plasma.cell"	0.00352112676056338
"45"	"pericyte.cell"	"cd4.positive..alpha.beta.t.cell"	0.00350467289719626
"12"	"vein.endothelial.cell"	"goblet.cell"	0.00349040139616056
"239"	"tongue.muscle.cell"	"t.cell"	0.00347826086956522
"107"	"tongue.muscle.cell"	"endothelial.cell"	0.00347222222222222
"24"	"vein.endothelial.cell"	"b.cell"	0.00343642611683849
"203"	"tongue.muscle.cell"	"secretory.cell"	0.00328947368421053
"137"	"epithelial.cell"	"macrophage"	0.00319829424307036
"210"	"fibroblast"	"serous.cell.of.epithelium.of.trachea"	0.00306748466257669
"115"	"immune.cell"	"fibroblast"	0.00301659125188537
"240"	"vein.endothelial.cell"	"t.cell"	0.003003003003003
"231"	"endothelial.cell.of.artery"	"t.cell"	0.00294406280667321
"224"	"keratinocyte"	"smooth.muscle.cell"	0.00293542074363992
"72"	"vein.endothelial.cell"	"ciliated.cell"	0.00279850746268657
"36"	"vein.endothelial.cell"	"basal.cell"	0.00258064516129032
"49"	"basal.cell"	"cd8.positive..alpha.beta.t.cell"	0.00254129606099111
"163"	"immune.cell"	"mucus.secreting.cell"	0.00245700245700246
"18"	"fibroblast"	"b.cell"	0.00241254523522316
"96"	"vein.endothelial.cell"	"double.positive..alpha.beta.thymocyte"	0.00238237045860631
"211"	"immune.cell"	"serous.cell.of.epithelium.of.trachea"	0.00220264317180617
"233"	"epithelial.cell"	"t.cell"	0.00217391304347826
"77"	"epithelial.cell"	"connective.tissue.cell"	0.00216138328530259
