"Trachea"	"Lung"	"value"
"688"	"double.positive..alpha.beta.thymocyte"	"type.i.pneumocyte"	0.0227272727272727
"654"	"mucus.secreting.cell"	"serous.cell.of.epithelium.of.bronchus"	0.0225846925972397
"459"	"smooth.muscle.cell"	"myofibroblast.cell"	0.0219959266802444
"215"	"neutrophil"	"capillary.endothelial.cell"	0.0218340611353712
"661"	"goblet.cell"	"smooth.muscle.cell"	0.0217554388597149
"523"	"basal.cell"	"pericyte.cell"	0.0217238962859145
"333"	"mast.cell"	"fibroblast"	0.0216138328530259
"421"	"goblet.cell"	"mesothelial.cell"	0.0215827338129496
"574"	"mucus.secreting.cell"	"plasmacytoid.dendritic.cell"	0.0213106020245072
"334"	"mucus.secreting.cell"	"fibroblast"	0.0212683681361176
"669"	"endothelial.cell"	"smooth.muscle.cell"	0.021047227926078
"195"	"neutrophil"	"capillary.aerocyte"	0.0209230769230769
"114"	"mucus.secreting.cell"	"basal.cell"	0.020891364902507
"502"	"b.cell"	"non.classical.monocyte"	0.0208044382801664
"454"	"mucus.secreting.cell"	"myofibroblast.cell"	0.0207394048692516
"443"	"basal.cell"	"myofibroblast.cell"	0.0204251771571488
"303"	"basal.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0202739726027397
"718"	"serous.cell.of.epithelium.of.trachea"	"type.ii.pneumocyte"	0.0201698513800425
"338"	"serous.cell.of.epithelium.of.trachea"	"fibroblast"	0.0201686835350202
"666"	"ciliated.cell"	"smooth.muscle.cell"	0.0201458839874957
"486"	"ciliated.cell"	"nk.cell"	0.0200899550224888
"561"	"goblet.cell"	"plasmacytoid.dendritic.cell"	0.0198711063372718
"487"	"connective.tissue.cell"	"nk.cell"	0.0198621807863802
"526"	"ciliated.cell"	"pericyte.cell"	0.0198126801152738
"190"	"fibroblast"	"capillary.aerocyte"	0.0197424892703863
"211"	"ionocyte"	"capillary.endothelial.cell"	0.0197063369397218
"319"	"smooth.muscle.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0196182396606575
"246"	"ciliated.cell"	"club.cell"	0.0195188379482524
"41"	"goblet.cell"	"adventitial.cell"	0.0194285714285714
"631"	"ionocyte"	"respiratory.mucous.cell"	0.01940109658372
"729"	"endothelial.cell"	"vascular.associated.smooth.muscle.cell"	0.0191961607678464
"268"	"double.positive..alpha.beta.thymocyte"	"dendritic.cell"	0.019036954087346
"726"	"ciliated.cell"	"vascular.associated.smooth.muscle.cell"	0.018860662047729
"293"	"mast.cell"	"endothelial.cell.of.artery"	0.0188340807174888
"431"	"ionocyte"	"mesothelial.cell"	0.0187265917602996
"339"	"smooth.muscle.cell"	"fibroblast"	0.0187080833039181
"291"	"ionocyte"	"endothelial.cell.of.artery"	0.0186008896077638
"193"	"mast.cell"	"capillary.aerocyte"	0.018341307814992
"690"	"fibroblast"	"type.i.pneumocyte"	0.0183098591549296
"747"	"connective.tissue.cell"	"vein.endothelial.cell"	0.0183066361556064
"368"	"double.positive..alpha.beta.thymocyte"	"lung.ciliated.cell"	0.0182606004333024
"146"	"ciliated.cell"	"bronchial.smooth.muscle.cell"	0.0182322631787554
"581"	"goblet.cell"	"pulmonary.ionocyte"	0.0181378476420798
"438"	"serous.cell.of.epithelium.of.trachea"	"mesothelial.cell"	0.0181268882175227
"265"	"cd8.positive..alpha.beta.t.cell"	"dendritic.cell"	0.0180645161290323
"564"	"cd4.positive..alpha.beta.t.cell"	"plasmacytoid.dendritic.cell"	0.0180281690140845
"576"	"plasma.cell"	"plasmacytoid.dendritic.cell"	0.0178890876565295
"315"	"neutrophil"	"endothelial.cell.of.lymphatic.vessel"	0.0175992779783394
"314"	"mucus.secreting.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0175864160097029
"363"	"basal.cell"	"lung.ciliated.cell"	0.0174989329918907
"210"	"fibroblast"	"capillary.endothelial.cell"	0.01743679163034
"651"	"ionocyte"	"serous.cell.of.epithelium.of.bronchus"	0.0174319727891156
"122"	"b.cell"	"basophil"	0.0173564753004005
"643"	"basal.cell"	"serous.cell.of.epithelium.of.bronchus"	0.0173116089613035
"728"	"double.positive..alpha.beta.thymocyte"	"vascular.associated.smooth.muscle.cell"	0.0172655156322912
"413"	"mast.cell"	"macrophage"	0.0172413793103448
"149"	"endothelial.cell"	"bronchial.smooth.muscle.cell"	0.0169385194479297
"623"	"basal.cell"	"respiratory.mucous.cell"	0.0168986083499006
"594"	"mucus.secreting.cell"	"pulmonary.ionocyte"	0.0167865707434053
"492"	"macrophage"	"nk.cell"	0.0167322834645669
"593"	"mast.cell"	"pulmonary.ionocyte"	0.0167037861915367
"699"	"smooth.muscle.cell"	"type.i.pneumocyte"	0.0166773572803079
"374"	"mucus.secreting.cell"	"lung.ciliated.cell"	0.0166358595194085
"449"	"endothelial.cell"	"myofibroblast.cell"	0.0166312809624912
"342"	"b.cell"	"intermediate.monocyte"	0.0165816326530612
"323"	"basal.cell"	"fibroblast"	0.016552716804606
