"Bone marrow"	"Lung"	"value"
"449"	"cd4.positive..alpha.beta.t.cell"	"plasmacytoid.dendritic.cell"	0.008274231678487
"568"	"macrophage"	"type.ii.pneumocyte"	0.00821596244131455
"339"	"cd24.neutrophil"	"mesothelial.cell"	0.00812274368231047
"71"	"hematopoietic.stem.cell"	"b.cell"	0.00810185185185185
"219"	"myeloid.progenitor"	"dendritic.cell"	0.008
"541"	"nampt.neutrophil"	"smooth.muscle.cell"	0.00799086757990868
"233"	"memory.b.cell"	"endothelial.cell.of.artery"	0.00798934753661784
"575"	"nk.cell"	"type.ii.pneumocyte"	0.00796812749003984
"569"	"memory.b.cell"	"type.ii.pneumocyte"	0.00792393026941363
"92"	"naive.b.cell"	"basal.cell"	0.00786516853932584
"511"	"nk.cell"	"respiratory.mucous.cell"	0.00784929356357928
"78"	"neutrophil"	"b.cell"	0.00784655623365301
"540"	"naive.b.cell"	"smooth.muscle.cell"	0.00783289817232376
"546"	"cd8.positive..alpha.beta.t.cell"	"type.i.pneumocyte"	0.00777000777000777
"11"	"myeloid.progenitor"	"cd8.positive..alpha.beta.t.cell"	0.00776531492666091
"595"	"cd24.neutrophil"	"vein.endothelial.cell"	0.00774336283185841
"68"	"erythrocyte"	"b.cell"	0.00771775082690187
"606"	"neutrophil"	"vein.endothelial.cell"	0.00767018216682646
"351"	"nk.cell"	"mesothelial.cell"	0.00766283524904215
"141"	"nampt.neutrophil"	"bronchial.vessel.endothelial.cell"	0.00766016713091922
"383"	"nk.cell"	"neutrophil"	0.0076530612244898
"144"	"plasma.cell"	"bronchial.vessel.endothelial.cell"	0.00765027322404372
"567"	"hematopoietic.stem.cell"	"type.ii.pneumocyte"	0.00765027322404372
"325"	"erythroid.progenitor"	"macrophage"	0.00764006791171477
"365"	"nampt.neutrophil"	"myofibroblast.cell"	0.00760456273764259
"498"	"cd8.positive..alpha.beta.t.cell"	"respiratory.mucous.cell"	0.00759493670886076
"79"	"nk.cell"	"b.cell"	0.00746887966804979
"294"	"granulocyte"	"lung.ciliated.cell"	0.0074487895716946
"360"	"macrophage"	"myofibroblast.cell"	0.00743657042869641
"249"	"memory.b.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0074173971679029
"276"	"erythrocyte"	"intermediate.monocyte"	0.00741525423728814
