"Spleen"	"Tongue"	"value"
"122"	"cd4.positive..alpha.beta.memory.t.cell"	"fibroblast"	0.00199600798403194
"103"	"endothelial.cell"	"epithelial.cell"	0.00194779898714453
"109"	"mature.nk.t.cell"	"epithelial.cell"	0.00185873605947955
"120"	"type.i.nk.t.cell"	"epithelial.cell"	0.00185528756957328
"182"	"memory.b.cell"	"keratinocyte"	0.00183823529411765
"24"	"type.i.nk.t.cell"	"basal.cell"	0.00182149362477231
"119"	"regulatory.t.cell"	"epithelial.cell"	0.00174216027874564
"283"	"nk.cell"	"vein.endothelial.cell"	0.00173611111111111
"137"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"fibroblast"	0.00162337662337662
"133"	"mature.nk.t.cell"	"fibroblast"	0.00151975683890578
"75"	"cd8.positive..alpha.beta.memory.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00142450142450142
"106"	"innate.lymphoid.cell"	"epithelial.cell"	0.00113122171945701
"151"	"endothelial.cell"	"immune.cell"	0.00097624471200781
"219"	"cd8.positive..alpha.beta.memory.t.cell"	"schwann.cell"	0.000863930885529158
"2"	"cd4.positive..alpha.beta.memory.t.cell"	"basal.cell"	0
"3"	"cd8.positive..alpha.beta.memory.t.cell"	"basal.cell"	0
"17"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"basal.cell"	0
"27"	"cd8.positive..alpha.beta.memory.t.cell"	"capillary.endothelial.cell"	0
"51"	"cd8.positive..alpha.beta.memory.t.cell"	"endothelial.cell.of.artery"	0
"98"	"cd4.positive..alpha.beta.memory.t.cell"	"epithelial.cell"	0
"99"	"cd8.positive..alpha.beta.memory.t.cell"	"epithelial.cell"	0
"123"	"cd8.positive..alpha.beta.memory.t.cell"	"fibroblast"	0
"171"	"cd8.positive..alpha.beta.memory.t.cell"	"keratinocyte"	0
"195"	"cd8.positive..alpha.beta.memory.t.cell"	"pericyte.cell"	0
"266"	"cd4.positive..alpha.beta.memory.t.cell"	"vein.endothelial.cell"	0
"267"	"cd8.positive..alpha.beta.memory.t.cell"	"vein.endothelial.cell"	0
"288"	"type.i.nk.t.cell"	"vein.endothelial.cell"	0
