"Lung"	"Tongue"	"value"
"102"	"non.classical.monocyte"	"endothelial.cell.of.artery"	0.00975609756097561
"264"	"type.ii.pneumocyte"	"immune.cell"	0.00961538461538462
"326"	"mesothelial.cell"	"pericyte.cell"	0.00956937799043062
"300"	"smooth.muscle.cell"	"keratinocyte"	0.00953778429933969
"311"	"basophil"	"pericyte.cell"	0.00950369588173178
"127"	"club.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00941422594142259
"401"	"macrophage"	"tongue.muscle.cell"	0.00938967136150235
"449"	"respiratory.goblet.cell"	"vein.endothelial.cell"	0.00936768149882904
"396"	"endothelial.cell.of.lymphatic.vessel"	"tongue.muscle.cell"	0.00933488914819136
"356"	"dendritic.cell"	"schwann.cell"	0.00924499229583975
"322"	"intermediate.monocyte"	"pericyte.cell"	0.00916496945010183
"325"	"macrophage"	"pericyte.cell"	0.00914634146341463
"395"	"endothelial.cell.of.artery"	"tongue.muscle.cell"	0.00914634146341463
"184"	"respiratory.mucous.cell"	"epithelial.cell"	0.00911458333333333
"347"	"b.cell"	"schwann.cell"	0.00910815939278937
"166"	"dendritic.cell"	"epithelial.cell"	0.00909090909090909
"11"	"capillary.endothelial.cell"	"basal.cell"	0.00901803607214429
"64"	"non.classical.monocyte"	"capillary.endothelial.cell"	0.00898587933247754
"98"	"mesothelial.cell"	"endothelial.cell.of.artery"	0.00885608856088561
"258"	"pulmonary.ionocyte"	"immune.cell"	0.00878972278566599
"330"	"non.classical.monocyte"	"pericyte.cell"	0.00867678958785249
"172"	"lung.microvascular.endothelial.cell"	"epithelial.cell"	0.00866551126516464
"126"	"classical.monocyte"	"endothelial.cell.of.lymphatic.vessel"	0.00858778625954199
"72"	"smooth.muscle.cell"	"capillary.endothelial.cell"	0.0085166784953868
"392"	"classical.monocyte"	"tongue.muscle.cell"	0.00847457627118644
"56"	"intermediate.monocyte"	"capillary.endothelial.cell"	0.00833333333333333
"59"	"macrophage"	"capillary.endothelial.cell"	0.00831353919239905
"255"	"pericyte.cell"	"immune.cell"	0.00823529411764706
"398"	"intermediate.monocyte"	"tongue.muscle.cell"	0.0082256169212691
"436"	"intermediate.monocyte"	"vein.endothelial.cell"	0.00819672131147541
"208"	"intermediate.monocyte"	"fibroblast"	0.00818713450292398
"447"	"plasmacytoid.dendritic.cell"	"vein.endothelial.cell"	0.00817757009345794
"170"	"intermediate.monocyte"	"epithelial.cell"	0.00815217391304348
"206"	"endothelial.cell.of.lymphatic.vessel"	"fibroblast"	0.00813953488372093
"201"	"capillary.endothelial.cell"	"fibroblast"	0.00812274368231047
"151"	"vascular.associated.smooth.muscle.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00811808118081181
"107"	"respiratory.goblet.cell"	"endothelial.cell.of.artery"	0.00810810810810811
"317"	"club.cell"	"pericyte.cell"	0.00807381776239908
"16"	"endothelial.cell.of.lymphatic.vessel"	"basal.cell"	0.00806952203600248
"340"	"type.ii.pneumocyte"	"pericyte.cell"	0.00802407221664995
"21"	"macrophage"	"basal.cell"	0.00802139037433155
"412"	"respiratory.mucous.cell"	"tongue.muscle.cell"	0.00791855203619909
"336"	"respiratory.mucous.cell"	"pericyte.cell"	0.0078740157480315
"450"	"respiratory.mucous.cell"	"vein.endothelial.cell"	0.00777604976671851
"119"	"b.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0077145612343298
"196"	"basal.cell"	"fibroblast"	0.00766283524904215
"287"	"macrophage"	"keratinocyte"	0.0075187969924812
"434"	"endothelial.cell.of.lymphatic.vessel"	"vein.endothelial.cell"	0.00745257452574526
"14"	"dendritic.cell"	"basal.cell"	0.00745156482861401
"329"	"nk.cell"	"pericyte.cell"	0.00744416873449132
"221"	"respiratory.goblet.cell"	"fibroblast"	0.00742942050520059
"440"	"mesothelial.cell"	"vein.endothelial.cell"	0.00741839762611276
"41"	"adventitial.cell"	"capillary.endothelial.cell"	0.00741525423728814
"82"	"basal.cell"	"endothelial.cell.of.artery"	0.00737100737100737
"175"	"myofibroblast.cell"	"epithelial.cell"	0.00732600732600733
"42"	"alveolar.fibroblast"	"capillary.endothelial.cell"	0.00730688935281837
"247"	"lung.ciliated.cell"	"immune.cell"	0.00724914154902709
