"Bone marrow"	"Spleen"	"value"
"257"	"cd4.positive..alpha.beta.t.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00574712643678161
"10"	"monocyte"	"cd1c.positive.myeloid.dendritic.cell"	0.00566037735849057
"307"	"cd24.neutrophil"	"plasma.cell"	0.00559284116331096
"284"	"naive.b.cell"	"neutrophil"	0.00557620817843866
"363"	"myeloid.progenitor"	"regulatory.t.cell"	0.00548245614035088
"289"	"cd4.positive..alpha.beta.t.cell"	"nk.cell"	0.00541516245487365
"164"	"erythrocyte"	"intermediate.monocyte"	0.00532386867790594
"67"	"cd24.neutrophil"	"cd141.positive.myeloid.dendritic.cell"	0.00531914893617021
"380"	"naive.b.cell"	"type.i.nk.t.cell"	0.00523560209424084
"193"	"cd4.positive..alpha.beta.t.cell"	"mature.nk.t.cell"	0.00512820512820513
"369"	"cd4.positive..alpha.beta.t.cell"	"type.i.nk.t.cell"	0.0051150895140665
"55"	"hematopoietic.stem.cell"	"cd8.positive..alpha.beta.t.cell"	0.00504731861198738
"308"	"erythrocyte"	"plasma.cell"	0.00504413619167718
"291"	"cd24.neutrophil"	"nk.cell"	0.00495049504950495
"357"	"erythroid.progenitor"	"regulatory.t.cell"	0.00493583415597236
"365"	"nampt.neutrophil"	"regulatory.t.cell"	0.00490196078431373
"115"	"cd24.neutrophil"	"erythrocyte"	0.00489236790606654
"244"	"erythrocyte"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00484652665589661
"61"	"nampt.neutrophil"	"cd8.positive..alpha.beta.t.cell"	0.00481798715203426
"287"	"nk.cell"	"neutrophil"	0.00474934036939314
"242"	"cd8.positive..alpha.beta.t.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00462962962962963
"352"	"plasma.cell"	"platelet"	0.00458978772231784
"379"	"myeloid.progenitor"	"type.i.nk.t.cell"	0.00455580865603645
"177"	"cd4.positive..alpha.beta.t.cell"	"macrophage"	0.00452488687782805
"360"	"macrophage"	"regulatory.t.cell"	0.00444444444444444
"112"	"plasma.cell"	"endothelial.cell"	0.00442477876106195
"92"	"naive.b.cell"	"classical.monocyte"	0.00441988950276243
"150"	"granulocyte"	"innate.lymphoid.cell"	0.0044004400440044
"292"	"erythrocyte"	"nk.cell"	0.0044004400440044
"260"	"erythrocyte"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.0042674253200569
"270"	"neutrophil"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00423728813559322
"41"	"memory.b.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0.00413223140495868
"65"	"cd4.positive..alpha.beta.t.cell"	"cd141.positive.myeloid.dendritic.cell"	0.00412371134020619
"154"	"monocyte"	"innate.lymphoid.cell"	0.00408719346049046
"282"	"monocyte"	"neutrophil"	0.00402576489533011
"368"	"plasma.cell"	"regulatory.t.cell"	0.00401606425702811
"356"	"erythrocyte"	"regulatory.t.cell"	0.00384122919334187
"299"	"myeloid.progenitor"	"nk.cell"	0.00383877159309021
"136"	"macrophage"	"hematopoietic.stem.cell"	0.00380807311500381
"1"	"cd4.positive..alpha.beta.t.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.0037593984962406
"296"	"macrophage"	"nk.cell"	0.00373134328358209
"78"	"neutrophil"	"cd141.positive.myeloid.dendritic.cell"	0.00370027752081406
"238"	"neutrophil"	"naive.b.cell"	0.003690036900369
"29"	"nampt.neutrophil"	"cd4.positive..alpha.beta.memory.t.cell"	0.00361881785283474
"89"	"memory.b.cell"	"classical.monocyte"	0.0035778175313059
"87"	"hematopoietic.stem.cell"	"classical.monocyte"	0.00355450236966825
"79"	"nk.cell"	"cd141.positive.myeloid.dendritic.cell"	0.00351185250219491
"48"	"plasma.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0.00348432055749129
"203"	"myeloid.progenitor"	"mature.nk.t.cell"	0.00341685649202733
"355"	"cd24.neutrophil"	"regulatory.t.cell"	0.00339750849377123
"20"	"erythrocyte"	"cd4.positive..alpha.beta.memory.t.cell"	0.0033955857385399
"32"	"plasma.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0.00326797385620915
"213"	"erythroid.progenitor"	"memory.b.cell"	0.00324324324324324
"300"	"naive.b.cell"	"nk.cell"	0.00322927879440258
"57"	"memory.b.cell"	"cd8.positive..alpha.beta.t.cell"	0.00306983883346124
"52"	"erythrocyte"	"cd8.positive..alpha.beta.t.cell"	0.00306560392397302
"66"	"cd8.positive..alpha.beta.t.cell"	"cd141.positive.myeloid.dendritic.cell"	0.00306278713629403
"226"	"cd8.positive..alpha.beta.t.cell"	"naive.b.cell"	0.00304878048780488
"382"	"neutrophil"	"type.i.nk.t.cell"	0.00303643724696356
"141"	"nampt.neutrophil"	"hematopoietic.stem.cell"	0.00301204819277108
"337"	"cd4.positive..alpha.beta.t.cell"	"platelet"	0.0029868578255675
"199"	"hematopoietic.stem.cell"	"mature.nk.t.cell"	0.00284495021337127
"274"	"cd8.positive..alpha.beta.t.cell"	"neutrophil"	0.0028328611898017
"196"	"erythrocyte"	"mature.nk.t.cell"	0.00268096514745308
"265"	"memory.b.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00265957446808511
"251"	"myeloid.progenitor"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00265604249667995
"239"	"nk.cell"	"naive.b.cell"	0.0026246719160105
"170"	"monocyte"	"intermediate.monocyte"	0.00258397932816537
"202"	"monocyte"	"mature.nk.t.cell"	0.00256410256410256
"378"	"monocyte"	"type.i.nk.t.cell"	0.00255754475703325
"15"	"nk.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.0025273799494524
"160"	"plasma.cell"	"innate.lymphoid.cell"	0.00247524752475248
"30"	"neutrophil"	"cd4.positive..alpha.beta.memory.t.cell"	0.00240673886883273
"330"	"monocyte"	"plasmacytoid.dendritic.cell"	0.00240673886883273
"377"	"memory.b.cell"	"type.i.nk.t.cell"	0.00238663484486874
"371"	"cd24.neutrophil"	"type.i.nk.t.cell"	0.00235571260306243
"362"	"monocyte"	"regulatory.t.cell"	0.00234741784037559
"51"	"cd24.neutrophil"	"cd8.positive..alpha.beta.t.cell"	0.00230680507497117
"4"	"erythrocyte"	"cd1c.positive.myeloid.dendritic.cell"	0.00225225225225225
"384"	"plasma.cell"	"type.i.nk.t.cell"	0.0021551724137931
"373"	"erythroid.progenitor"	"type.i.nk.t.cell"	0.00203873598369011
"152"	"macrophage"	"innate.lymphoid.cell"	0.00202839756592292
"205"	"nampt.neutrophil"	"mature.nk.t.cell"	0.00202634245187437
"381"	"nampt.neutrophil"	"type.i.nk.t.cell"	0.00202429149797571
"210"	"cd8.positive..alpha.beta.t.cell"	"memory.b.cell"	0.00198019801980198
"214"	"granulocyte"	"memory.b.cell"	0.001953125
"318"	"neutrophil"	"plasma.cell"	0.00192864030858245
"279"	"hematopoietic.stem.cell"	"neutrophil"	0.00192554557124519
"229"	"erythroid.progenitor"	"naive.b.cell"	0.00185528756957328
"237"	"nampt.neutrophil"	"naive.b.cell"	0.00184331797235023
"167"	"hematopoietic.stem.cell"	"intermediate.monocyte"	0.00183823529411765
"23"	"hematopoietic.stem.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0.00182815356489945
"319"	"nk.cell"	"plasma.cell"	0.00182648401826484
"13"	"nampt.neutrophil"	"cd1c.positive.myeloid.dendritic.cell"	0.00177147918511957
"14"	"neutrophil"	"cd1c.positive.myeloid.dendritic.cell"	0.00176991150442478
"172"	"naive.b.cell"	"intermediate.monocyte"	0.00173913043478261
"126"	"neutrophil"	"erythrocyte"	0.00171673819742489
"95"	"nk.cell"	"classical.monocyte"	0.00168350168350168
"121"	"memory.b.cell"	"erythrocyte"	0.00168067226890756
"264"	"macrophage"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00166944908180301
"130"	"cd8.positive..alpha.beta.t.cell"	"hematopoietic.stem.cell"	0.00162074554294976
"304"	"plasma.cell"	"nk.cell"	0.00159235668789809
"281"	"memory.b.cell"	"neutrophil"	0.00157109190887667
"58"	"monocyte"	"cd8.positive..alpha.beta.t.cell"	0.00156617071260767
"252"	"naive.b.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.0015625
"376"	"macrophage"	"type.i.nk.t.cell"	0.00155763239875389
"64"	"plasma.cell"	"cd8.positive..alpha.beta.t.cell"	0.00148148148148148
"165"	"erythroid.progenitor"	"intermediate.monocyte"	0.00146520146520147
"312"	"macrophage"	"plasma.cell"	0.00144927536231884
"2"	"cd8.positive..alpha.beta.t.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.0014265335235378
"82"	"cd8.positive..alpha.beta.t.cell"	"classical.monocyte"	0.0014265335235378
"278"	"granulocyte"	"neutrophil"	0.00140745953553835
"175"	"nk.cell"	"intermediate.monocyte"	0.00139762403913347
"114"	"cd8.positive..alpha.beta.t.cell"	"erythrocyte"	0.00135869565217391
"232"	"macrophage"	"naive.b.cell"	0.0013531799729364
