"Spleen"	"Trachea"	"value"
"16"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"goblet.cell"	0.00657894736842105
"170"	"cd4.positive..alpha.beta.memory.t.cell"	"double.positive..alpha.beta.thymocyte"	0.00655307994757536
"278"	"memory.b.cell"	"macrophage"	0.0065359477124183
"54"	"classical.monocyte"	"basal.cell"	0.00650054171180932
"291"	"cd8.positive..alpha.beta.memory.t.cell"	"mast.cell"	0.00647249190938511
"324"	"macrophage"	"mucus.secreting.cell"	0.00641025641025641
"477"	"plasmacytoid.dendritic.cell"	"t.cell"	0.00640204865556978
"75"	"cd8.positive..alpha.beta.memory.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.00634920634920635
"67"	"nk.cell"	"basal.cell"	0.00634249471458774
"73"	"cd1c.positive.myeloid.dendritic.cell"	"cd4.positive..alpha.beta.t.cell"	0.0063391442155309
"260"	"plasma.cell"	"ionocyte"	0.00631768953068592
"335"	"regulatory.t.cell"	"mucus.secreting.cell"	0.0062992125984252
"102"	"classical.monocyte"	"cd8.positive..alpha.beta.t.cell"	0.00625782227784731
"173"	"cd141.positive.myeloid.dendritic.cell"	"double.positive..alpha.beta.thymocyte"	0.00619020821609454
"365"	"cd141.positive.myeloid.dendritic.cell"	"plasma.cell"	0.00618556701030928
"137"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"ciliated.cell"	0.00617577197149644
"167"	"regulatory.t.cell"	"connective.tissue.cell"	0.00614439324116743
"28"	"cd8.positive..alpha.beta.t.cell"	"b.cell"	0.00610997963340122
"272"	"erythrocyte"	"macrophage"	0.00603015075376884
"401"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"secretory.cell"	0.00600600600600601
"171"	"cd8.positive..alpha.beta.memory.t.cell"	"double.positive..alpha.beta.thymocyte"	0.00596816976127321
"114"	"neutrophil"	"cd8.positive..alpha.beta.t.cell"	0.00596421471172962
"136"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"ciliated.cell"	0.00593471810089021
"268"	"cd8.positive..alpha.beta.t.cell"	"macrophage"	0.00587544065804935
"256"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"ionocyte"	0.00587371512481645
"391"	"endothelial.cell"	"secretory.cell"	0.00584307178631052
"385"	"cd1c.positive.myeloid.dendritic.cell"	"secretory.cell"	0.00581395348837209
"390"	"classical.monocyte"	"secretory.cell"	0.00581395348837209
"107"	"intermediate.monocyte"	"cd8.positive..alpha.beta.t.cell"	0.00576368876080692
"254"	"memory.b.cell"	"ionocyte"	0.00567375886524823
"133"	"mature.nk.t.cell"	"ciliated.cell"	0.00558659217877095
"478"	"platelet"	"t.cell"	0.00554870530209618
"168"	"type.i.nk.t.cell"	"connective.tissue.cell"	0.0055205047318612
"364"	"cd8.positive..alpha.beta.t.cell"	"plasma.cell"	0.00549450549450549
"30"	"classical.monocyte"	"b.cell"	0.00546448087431694
"41"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"b.cell"	0.00546448087431694
"4"	"cd8.positive..alpha.beta.t.cell"	"goblet.cell"	0.00546075085324232
"65"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"basal.cell"	0.00539811066126856
"34"	"innate.lymphoid.cell"	"b.cell"	0.0053475935828877
"305"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"mast.cell"	0.00531914893617021
"101"	"cd141.positive.myeloid.dendritic.cell"	"cd8.positive..alpha.beta.t.cell"	0.00531208499335989
"134"	"memory.b.cell"	"ciliated.cell"	0.00525059665871122
"431"	"regulatory.t.cell"	"serous.cell.of.epithelium.of.trachea"	0.00515463917525773
"281"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"macrophage"	0.0051413881748072
"35"	"intermediate.monocyte"	"b.cell"	0.00513347022587269
"77"	"cd141.positive.myeloid.dendritic.cell"	"cd4.positive..alpha.beta.t.cell"	0.00512820512820513
"72"	"type.i.nk.t.cell"	"basal.cell"	0.00510204081632653
"48"	"type.i.nk.t.cell"	"b.cell"	0.00506756756756757
"140"	"plasma.cell"	"ciliated.cell"	0.00500454959053685
"97"	"cd1c.positive.myeloid.dendritic.cell"	"cd8.positive..alpha.beta.t.cell"	0.005
"336"	"type.i.nk.t.cell"	"mucus.secreting.cell"	0.00499168053244592
"359"	"regulatory.t.cell"	"neutrophil"	0.00495867768595041
"66"	"neutrophil"	"basal.cell"	0.00489296636085627
"277"	"mature.nk.t.cell"	"macrophage"	0.0048780487804878
"407"	"regulatory.t.cell"	"secretory.cell"	0.0048661800486618
"215"	"regulatory.t.cell"	"endothelial.cell"	0.00483091787439614
"68"	"plasma.cell"	"basal.cell"	0.00480769230769231
"308"	"plasma.cell"	"mast.cell"	0.00474495848161329
"445"	"mature.nk.t.cell"	"smooth.muscle.cell"	0.004739336492891
"316"	"cd8.positive..alpha.beta.t.cell"	"mucus.secreting.cell"	0.00471698113207547
"351"	"naive.b.cell"	"neutrophil"	0.00471698113207547
"290"	"cd4.positive..alpha.beta.memory.t.cell"	"mast.cell"	0.00470219435736677
"369"	"hematopoietic.stem.cell"	"plasma.cell"	0.00469924812030075
"363"	"cd8.positive..alpha.beta.memory.t.cell"	"plasma.cell"	0.00462962962962963
"264"	"type.i.nk.t.cell"	"ionocyte"	0.00460405156537753
"235"	"nk.cell"	"fibroblast"	0.00459770114942529
