"Trachea"	"Spleen"	"value"
"413"	"mast.cell"	"plasmacytoid.dendritic.cell"	0.00813008130081301
"86"	"ciliated.cell"	"cd141.positive.myeloid.dendritic.cell"	0.00804649083594099
"78"	"serous.cell.of.epithelium.of.trachea"	"cd8.positive..alpha.beta.t.cell"	0.0080296479308215
"283"	"basal.cell"	"naive.b.cell"	0.00797266514806378
"150"	"fibroblast"	"erythrocyte"	0.00796359499431172
"217"	"secretory.cell"	"intermediate.monocyte"	0.00793650793650794
"195"	"neutrophil"	"innate.lymphoid.cell"	0.00792602377807133
"382"	"b.cell"	"plasma.cell"	0.00783699059561128
"446"	"ciliated.cell"	"regulatory.t.cell"	0.007801743919229
"378"	"serous.cell.of.epithelium.of.trachea"	"nk.cell"	0.00776053215077605
"192"	"macrophage"	"innate.lymphoid.cell"	0.00775193798449612
"414"	"mucus.secreting.cell"	"plasmacytoid.dendritic.cell"	0.0077145612343298
"367"	"connective.tissue.cell"	"nk.cell"	0.007703081232493
"243"	"basal.cell"	"mature.nk.t.cell"	0.00768245838668374
"303"	"basal.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00762195121951219
"321"	"goblet.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00742115027829314
"281"	"goblet.cell"	"naive.b.cell"	0.00737463126843658
"327"	"connective.tissue.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00735895339329518
"219"	"smooth.muscle.cell"	"intermediate.monocyte"	0.00735294117647059
"443"	"basal.cell"	"regulatory.t.cell"	0.00734394124847001
"287"	"connective.tissue.cell"	"naive.b.cell"	0.00734214390602056
"409"	"endothelial.cell"	"plasmacytoid.dendritic.cell"	0.00730816077953715
"200"	"t.cell"	"innate.lymphoid.cell"	0.0072992700729927
"94"	"mucus.secreting.cell"	"cd141.positive.myeloid.dendritic.cell"	0.00721500721500722
"145"	"cd8.positive..alpha.beta.t.cell"	"erythrocyte"	0.00720288115246098
"436"	"plasma.cell"	"platelet"	0.00719424460431655
"298"	"serous.cell.of.epithelium.of.trachea"	"naive.b.cell"	0.00717703349282297
"247"	"connective.tissue.cell"	"mature.nk.t.cell"	0.00711462450592885
"250"	"fibroblast"	"mature.nk.t.cell"	0.00710227272727273
"308"	"double.positive..alpha.beta.thymocyte"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.0070694087403599
"175"	"neutrophil"	"hematopoietic.stem.cell"	0.00705371676614216
"456"	"plasma.cell"	"regulatory.t.cell"	0.00704225352112676
"452"	"macrophage"	"regulatory.t.cell"	0.00702576112412178
"106"	"ciliated.cell"	"classical.monocyte"	0.00699912510936133
"341"	"goblet.cell"	"neutrophil"	0.00698812019566737
"251"	"ionocyte"	"mature.nk.t.cell"	0.00692520775623269
"241"	"goblet.cell"	"mature.nk.t.cell"	0.00688468158347676
"263"	"basal.cell"	"memory.b.cell"	0.00686813186813187
"415"	"neutrophil"	"plasmacytoid.dendritic.cell"	0.00682805710738672
"196"	"plasma.cell"	"innate.lymphoid.cell"	0.00681198910081744
"424"	"cd4.positive..alpha.beta.t.cell"	"platelet"	0.00678733031674208
"273"	"mast.cell"	"memory.b.cell"	0.006765899864682
"114"	"mucus.secreting.cell"	"classical.monocyte"	0.00675675675675676
"249"	"endothelial.cell"	"mature.nk.t.cell"	0.00664451827242525
"301"	"goblet.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00657894736842105
