"Skeletal muscle"	"Spleen"	"value"
"12"	"mesenchymal.stem.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.00802139037433155
"382"	"cd4.positive..alpha.beta.t.cell"	"plasmacytoid.dendritic.cell"	0.00793650793650794
"384"	"endothelial.cell.of.artery"	"plasmacytoid.dendritic.cell"	0.00791765637371338
"283"	"smooth.muscle.cell"	"naive.b.cell"	0.00791295746785361
"314"	"mast.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00790067720090293
"58"	"capillary.endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00785498489425982
"114"	"tendon.cell"	"classical.monocyte"	0.0078125
"325"	"cd4.positive..alpha.beta.t.cell"	"neutrophil"	0.00773395204949729
"241"	"mesothelial.cell"	"mature.nk.t.cell"	0.00767754318618042
"308"	"endothelial.cell.of.artery"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00766283524904215
"454"	"smooth.muscle.cell"	"type.i.nk.t.cell"	0.00765027322404372
"373"	"mesenchymal.stem.cell"	"plasma.cell"	0.00762195121951219
"144"	"mature.nk.t.cell"	"erythrocyte"	0.00755287009063444
"5"	"endothelial.cell.of.lymphatic.vessel"	"cd1c.positive.myeloid.dendritic.cell"	0.00754310344827586
"437"	"tendon.cell"	"regulatory.t.cell"	0.00754147812971342
"447"	"mast.cell"	"type.i.nk.t.cell"	0.00753498385360603
"356"	"pericyte.cell"	"nk.cell"	0.0075187969924812
"376"	"skeletal.muscle.satellite.stem.cell"	"plasma.cell"	0.00749625187406297
"394"	"pericyte.cell"	"plasmacytoid.dendritic.cell"	0.0074468085106383
"40"	"cd4.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0.00743494423791822
"358"	"slow.muscle.cell"	"nk.cell"	0.00742240215924426
"426"	"fast.muscle.cell"	"regulatory.t.cell"	0.00738007380073801
"66"	"macrophage"	"cd8.positive..alpha.beta.t.cell"	0.00731350560702097
"371"	"mast.cell"	"plasma.cell"	0.00716479017400205
"278"	"mesenchymal.stem.cell"	"naive.b.cell"	0.00709219858156028
"262"	"skeletal.muscle.satellite.stem.cell"	"memory.b.cell"	0.00707964601769911
"91"	"skeletal.muscle.satellite.stem.cell"	"cd141.positive.myeloid.dendritic.cell"	0.00701262272089762
"209"	"tendon.cell"	"intermediate.monocyte"	0.00693069306930693
"253"	"endothelial.cell.of.vascular.tree"	"memory.b.cell"	0.00684931506849315
"81"	"endothelial.cell.of.lymphatic.vessel"	"cd141.positive.myeloid.dendritic.cell"	0.00680272108843537
"272"	"endothelial.cell.of.vascular.tree"	"naive.b.cell"	0.00680272108843537
"450"	"mesothelial.cell"	"type.i.nk.t.cell"	0.00670498084291188
"261"	"pericyte.cell"	"memory.b.cell"	0.00669642857142857
"434"	"slow.muscle.cell"	"regulatory.t.cell"	0.00664206642066421
"355"	"mesothelial.cell"	"nk.cell"	0.00662800331400166
"96"	"capillary.endothelial.cell"	"classical.monocyte"	0.00655021834061135
"229"	"capillary.endothelial.cell"	"mature.nk.t.cell"	0.00645161290322581
"87"	"mature.nk.t.cell"	"cd141.positive.myeloid.dendritic.cell"	0.00643086816720257
"132"	"t.cell"	"endothelial.cell"	0.00641940085592011
"79"	"cd8.positive..alpha.beta.t.cell"	"cd141.positive.myeloid.dendritic.cell"	0.00632911392405063
"256"	"macrophage"	"memory.b.cell"	0.0062667860340197
"109"	"pericyte.cell"	"classical.monocyte"	0.00622083981337481
"4"	"endothelial.cell.of.artery"	"cd1c.positive.myeloid.dendritic.cell"	0.0062047569803516
"52"	"pericyte.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0.00611620795107034
"232"	"endothelial.cell.of.artery"	"mature.nk.t.cell"	0.00605326876513317
"379"	"t.cell"	"plasma.cell"	0.00600240096038415
"351"	"macrophage"	"nk.cell"	0.00599250936329588
"72"	"skeletal.muscle.satellite.stem.cell"	"cd8.positive..alpha.beta.t.cell"	0.00599201065246338
"180"	"macrophage"	"innate.lymphoid.cell"	0.00594059405940594
"63"	"endothelial.cell.of.vascular.tree"	"cd8.positive..alpha.beta.t.cell"	0.00591715976331361
"155"	"cd8.positive..alpha.beta.t.cell"	"hematopoietic.stem.cell"	0.00578512396694215
"392"	"mesenchymal.stem.cell"	"plasmacytoid.dendritic.cell"	0.00572519083969466
"432"	"pericyte.cell"	"regulatory.t.cell"	0.00557620817843866
"78"	"cd4.positive..alpha.beta.t.cell"	"cd141.positive.myeloid.dendritic.cell"	0.00556586270871985
"248"	"capillary.endothelial.cell"	"memory.b.cell"	0.00554016620498615
"265"	"t.cell"	"memory.b.cell"	0.00547195622435021
"245"	"smooth.muscle.cell"	"mature.nk.t.cell"	0.00545851528384279
"1"	"capillary.endothelial.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.0054525627044711
"309"	"endothelial.cell.of.lymphatic.vessel"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00535475234270415
"299"	"pericyte.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00530503978779841
"316"	"mesenchymal.stem.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00529100529100529
"438"	"capillary.endothelial.cell"	"type.i.nk.t.cell"	0.00514800514800515
"49"	"mature.nk.t.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0.00512295081967213
"97"	"cd4.positive..alpha.beta.t.cell"	"classical.monocyte"	0.00511945392491468
"249"	"cd4.positive..alpha.beta.t.cell"	"memory.b.cell"	0.0051150895140665
"364"	"cd8.positive..alpha.beta.t.cell"	"plasma.cell"	0.00511073253833049
"166"	"pericyte.cell"	"hematopoietic.stem.cell"	0.0051063829787234
"233"	"endothelial.cell.of.lymphatic.vessel"	"mature.nk.t.cell"	0.00506970849176172
"310"	"endothelial.cell.of.vascular.tree"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.0050251256281407
"348"	"endothelial.cell.of.vascular.tree"	"nk.cell"	0.0049813200498132
"282"	"slow.muscle.cell"	"naive.b.cell"	0.00493305144467935
"240"	"mesenchymal.stem.cell"	"mature.nk.t.cell"	0.00492610837438424
"419"	"capillary.endothelial.cell"	"regulatory.t.cell"	0.00492610837438424
"135"	"cd4.positive..alpha.beta.t.cell"	"erythrocyte"	0.00483091787439614
"441"	"endothelial.cell.of.artery"	"type.i.nk.t.cell"	0.00483091787439614
"452"	"skeletal.muscle.satellite.stem.cell"	"type.i.nk.t.cell"	0.00483091787439614
"247"	"tendon.cell"	"mature.nk.t.cell"	0.00476947535771065
"342"	"tendon.cell"	"neutrophil"	0.00472653612424038
"69"	"mesenchymal.stem.cell"	"cd8.positive..alpha.beta.t.cell"	0.00468854655056932
"264"	"smooth.muscle.cell"	"memory.b.cell"	0.00463499420625724
"258"	"mature.nk.t.cell"	"memory.b.cell"	0.00455373406193078
"98"	"cd8.positive..alpha.beta.t.cell"	"classical.monocyte"	0.00441176470588235
"297"	"mesenchymal.stem.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00413223140495868
"350"	"fast.muscle.cell"	"nk.cell"	0.00411184210526316
