"Lung"	"Skeletal muscle"	"value"
"334"	"pulmonary.ionocyte"	"macrophage"	0.0216180805764821
"224"	"smooth.muscle.cell"	"endothelial.cell.of.vascular.tree"	0.0215982721382289
"692"	"bronchial.smooth.muscle.cell"	"tendon.cell"	0.0215897939156035
"711"	"pericyte.cell"	"tendon.cell"	0.0211598746081505
"396"	"endothelial.cell.of.lymphatic.vessel"	"mature.nk.t.cell"	0.0210430009149131
"138"	"neutrophil"	"endothelial.cell.of.artery"	0.0209059233449477
"175"	"myofibroblast.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0207986688851913
"394"	"dendritic.cell"	"mature.nk.t.cell"	0.0206677265500795
"554"	"mesothelial.cell"	"skeletal.muscle.satellite.stem.cell"	0.0206422018348624
"719"	"type.i.pneumocyte"	"tendon.cell"	0.0201192250372578
"302"	"type.ii.pneumocyte"	"fast.muscle.cell"	0.0200320512820513
"426"	"bronchial.smooth.muscle.cell"	"mesenchymal.stem.cell"	0.01998001998002
"17"	"fibroblast"	"capillary.endothelial.cell"	0.0199058993847267
"441"	"myofibroblast.cell"	"mesenchymal.stem.cell"	0.0197397936294302
"385"	"b.cell"	"mature.nk.t.cell"	0.0192604006163328
"637"	"plasmacytoid.dendritic.cell"	"smooth.muscle.cell"	0.0191518467852257
"700"	"endothelial.cell.of.lymphatic.vessel"	"tendon.cell"	0.0191044776119403
"559"	"pericyte.cell"	"skeletal.muscle.satellite.stem.cell"	0.0188976377952756
"576"	"basal.cell"	"slow.muscle.cell"	0.0188679245283019
"214"	"neutrophil"	"endothelial.cell.of.vascular.tree"	0.0188311688311688
"690"	"basal.cell"	"tendon.cell"	0.018716577540107
"676"	"pulmonary.ionocyte"	"t.cell"	0.0186567164179104
"204"	"dendritic.cell"	"endothelial.cell.of.vascular.tree"	0.0185430463576159
"67"	"plasmacytoid.dendritic.cell"	"cd4.positive..alpha.beta.t.cell"	0.0185078079814922
"347"	"b.cell"	"mast.cell"	0.0185013876040703
"498"	"alveolar.fibroblast"	"pericyte.cell"	0.0184956843403206
"606"	"type.ii.pneumocyte"	"slow.muscle.cell"	0.018457481872116
"156"	"alveolar.fibroblast"	"endothelial.cell.of.lymphatic.vessel"	0.0182815356489945
"311"	"basophil"	"macrophage"	0.0181543116490166
"278"	"classical.monocyte"	"fast.muscle.cell"	0.0181518151815182
"464"	"bronchial.smooth.muscle.cell"	"mesothelial.cell"	0.0181437543614794
"706"	"mesothelial.cell"	"tendon.cell"	0.0181200453001133
"272"	"basal.cell"	"fast.muscle.cell"	0.0180257510729614
"662"	"endothelial.cell.of.lymphatic.vessel"	"t.cell"	0.0180229382850901
"489"	"serous.cell.of.epithelium.of.bronchus"	"mesothelial.cell"	0.017741935483871
"321"	"fibroblast"	"macrophage"	0.0177215189873418
"288"	"mesothelial.cell"	"fast.muscle.cell"	0.0176923076923077
"377"	"type.i.pneumocyte"	"mast.cell"	0.0176506390748631
"133"	"lung.ciliated.cell"	"endothelial.cell.of.artery"	0.0176026823134954
"461"	"b.cell"	"mesothelial.cell"	0.0175732217573222
"673"	"pericyte.cell"	"t.cell"	0.0174216027874564
"144"	"pulmonary.ionocyte"	"endothelial.cell.of.artery"	0.0172477064220183
"493"	"vascular.associated.smooth.muscle.cell"	"mesothelial.cell"	0.0172071475843812
"176"	"neutrophil"	"endothelial.cell.of.lymphatic.vessel"	0.0171496156120639
"188"	"type.ii.pneumocyte"	"endothelial.cell.of.lymphatic.vessel"	0.0171198388721047
"339"	"type.i.pneumocyte"	"macrophage"	0.0169941582580988
"480"	"neutrophil"	"mesothelial.cell"	0.0169753086419753
"597"	"pericyte.cell"	"slow.muscle.cell"	0.0167853509664293
"378"	"type.ii.pneumocyte"	"mast.cell"	0.0167696381288614
"660"	"dendritic.cell"	"t.cell"	0.0166481687014428
"415"	"type.i.pneumocyte"	"mature.nk.t.cell"	0.0166398282340311
"376"	"smooth.muscle.cell"	"mast.cell"	0.0166270783847981
"327"	"myofibroblast.cell"	"macrophage"	0.0164697457930541
"369"	"pericyte.cell"	"mast.cell"	0.0164556962025316
"594"	"neutrophil"	"slow.muscle.cell"	0.0162235241099594
"165"	"club.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0161849710982659
"665"	"lung.ciliated.cell"	"t.cell"	0.0161839863713799
"340"	"type.ii.pneumocyte"	"macrophage"	0.0160233066278223
"618"	"capillary.aerocyte"	"smooth.muscle.cell"	0.0159651669085631
"483"	"pericyte.cell"	"mesothelial.cell"	0.0159386068476978
"562"	"pulmonary.ionocyte"	"skeletal.muscle.satellite.stem.cell"	0.0158478605388273
