"Tongue"	"Lung"	"value"
"178"	"schwann.cell"	"endothelial.cell.of.artery"	0.0110714285714286
"225"	"pericyte.cell"	"lung.ciliated.cell"	0.0110216193302247
"155"	"tongue.muscle.cell"	"club.cell"	0.0109140518417462
"287"	"tongue.muscle.cell"	"neutrophil"	0.0108626198083067
"282"	"fibroblast"	"neutrophil"	0.0108349267049076
"222"	"fibroblast"	"lung.ciliated.cell"	0.010752688172043
"159"	"endothelial.cell.of.artery"	"dendritic.cell"	0.0107084019769358
"425"	"epithelial.cell"	"type.ii.pneumocyte"	0.0106951871657754
"397"	"basal.cell"	"smooth.muscle.cell"	0.0106707317073171
"80"	"keratinocyte"	"basophil"	0.0105401844532279
"431"	"tongue.muscle.cell"	"type.ii.pneumocyte"	0.0104287369640788
"221"	"epithelial.cell"	"lung.ciliated.cell"	0.010406811731315
"218"	"capillary.endothelial.cell"	"lung.ciliated.cell"	0.0103697024346258
"301"	"basal.cell"	"non.classical.monocyte"	0.010233918128655
"293"	"epithelial.cell"	"nk.cell"	0.0102098695405559
"378"	"fibroblast"	"respiratory.mucous.cell"	0.0101580135440181
"156"	"vein.endothelial.cell"	"club.cell"	0.0101419878296146
"393"	"pericyte.cell"	"serous.cell.of.epithelium.of.bronchus"	0.0101010101010101
"207"	"endothelial.cell.of.artery"	"intermediate.monocyte"	0.010077519379845
"212"	"keratinocyte"	"intermediate.monocyte"	0.0100755667506297
"160"	"endothelial.cell.of.lymphatic.vessel"	"dendritic.cell"	0.0100401606425703
"344"	"keratinocyte"	"plasmacytoid.dendritic.cell"	0.0100316789862724
"97"	"basal.cell"	"bronchial.vessel.endothelial.cell"	0.0100300902708124
"130"	"schwann.cell"	"capillary.endothelial.cell"	0.00992470910335387
"193"	"basal.cell"	"fibroblast"	0.00975800156128025
"303"	"endothelial.cell.of.artery"	"non.classical.monocyte"	0.00975609756097561
"427"	"immune.cell"	"type.ii.pneumocyte"	0.00961538461538462
"261"	"pericyte.cell"	"mesothelial.cell"	0.00956937799043062
"404"	"keratinocyte"	"smooth.muscle.cell"	0.00953778429933969
"81"	"pericyte.cell"	"basophil"	0.00950369588173178
"148"	"endothelial.cell.of.lymphatic.vessel"	"club.cell"	0.00941422594142259
"251"	"tongue.muscle.cell"	"macrophage"	0.00938967136150235
"372"	"vein.endothelial.cell"	"respiratory.goblet.cell"	0.00936768149882904
"191"	"tongue.muscle.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00933488914819136
"166"	"schwann.cell"	"dendritic.cell"	0.00924499229583975
"213"	"pericyte.cell"	"intermediate.monocyte"	0.00916496945010183
"179"	"tongue.muscle.cell"	"endothelial.cell.of.artery"	0.00914634146341463
"249"	"pericyte.cell"	"macrophage"	0.00914634146341463
"377"	"epithelial.cell"	"respiratory.mucous.cell"	0.00911458333333333
"58"	"schwann.cell"	"b.cell"	0.00910815939278937
"161"	"epithelial.cell"	"dendritic.cell"	0.00909090909090909
"121"	"basal.cell"	"capillary.endothelial.cell"	0.00901803607214429
"302"	"capillary.endothelial.cell"	"non.classical.monocyte"	0.00898587933247754
"255"	"endothelial.cell.of.artery"	"mesothelial.cell"	0.00885608856088561
"355"	"immune.cell"	"pulmonary.ionocyte"	0.00878972278566599
"309"	"pericyte.cell"	"non.classical.monocyte"	0.00867678958785249
"233"	"epithelial.cell"	"lung.microvascular.endothelial.cell"	0.00866551126516464
"136"	"endothelial.cell.of.lymphatic.vessel"	"classical.monocyte"	0.00858778625954199
"398"	"capillary.endothelial.cell"	"smooth.muscle.cell"	0.0085166784953868
"143"	"tongue.muscle.cell"	"classical.monocyte"	0.00847457627118644
"206"	"capillary.endothelial.cell"	"intermediate.monocyte"	0.00833333333333333
"242"	"capillary.endothelial.cell"	"macrophage"	0.00831353919239905
"319"	"immune.cell"	"pericyte.cell"	0.00823529411764706
"215"	"tongue.muscle.cell"	"intermediate.monocyte"	0.0082256169212691
"216"	"vein.endothelial.cell"	"intermediate.monocyte"	0.00819672131147541
"210"	"fibroblast"	"intermediate.monocyte"	0.00818713450292398
"348"	"vein.endothelial.cell"	"plasmacytoid.dendritic.cell"	0.00817757009345794
"209"	"epithelial.cell"	"intermediate.monocyte"	0.00815217391304348
"186"	"fibroblast"	"endothelial.cell.of.lymphatic.vessel"	0.00813953488372093
"126"	"fibroblast"	"capillary.endothelial.cell"	0.00812274368231047
"436"	"endothelial.cell.of.lymphatic.vessel"	"vascular.associated.smooth.muscle.cell"	0.00811808118081181
"363"	"endothelial.cell.of.artery"	"respiratory.goblet.cell"	0.00810810810810811
"153"	"pericyte.cell"	"club.cell"	0.00807381776239908
"181"	"basal.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00806952203600248
"429"	"pericyte.cell"	"type.ii.pneumocyte"	0.00802407221664995
"241"	"basal.cell"	"macrophage"	0.00802139037433155
"383"	"tongue.muscle.cell"	"respiratory.mucous.cell"	0.00791855203619909
"381"	"pericyte.cell"	"respiratory.mucous.cell"	0.0078740157480315
"384"	"vein.endothelial.cell"	"respiratory.mucous.cell"	0.00777604976671851
"52"	"endothelial.cell.of.lymphatic.vessel"	"b.cell"	0.0077145612343298
"66"	"fibroblast"	"basal.cell"	0.00766283524904215
"248"	"keratinocyte"	"macrophage"	0.0075187969924812
"192"	"vein.endothelial.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00745257452574526
"157"	"basal.cell"	"dendritic.cell"	0.00745156482861401
"297"	"pericyte.cell"	"nk.cell"	0.00744416873449132
"366"	"fibroblast"	"respiratory.goblet.cell"	0.00742942050520059
"264"	"vein.endothelial.cell"	"mesothelial.cell"	0.00741839762611276
"26"	"capillary.endothelial.cell"	"adventitial.cell"	0.00741525423728814
"63"	"endothelial.cell.of.artery"	"basal.cell"	0.00737100737100737
"269"	"epithelial.cell"	"myofibroblast.cell"	0.00732600732600733
"38"	"capillary.endothelial.cell"	"alveolar.fibroblast"	0.00730688935281837
"223"	"immune.cell"	"lung.ciliated.cell"	0.00724914154902709
"370"	"schwann.cell"	"respiratory.goblet.cell"	0.00721732157177225
"177"	"pericyte.cell"	"endothelial.cell.of.artery"	0.00715563506261181
"135"	"endothelial.cell.of.artery"	"classical.monocyte"	0.00709219858156028
"174"	"fibroblast"	"endothelial.cell.of.artery"	0.00707070707070707
"386"	"capillary.endothelial.cell"	"serous.cell.of.epithelium.of.bronchus"	0.00705882352941176
"73"	"basal.cell"	"basophil"	0.00702247191011236
"204"	"vein.endothelial.cell"	"fibroblast"	0.00698725852856556
"64"	"endothelial.cell.of.lymphatic.vessel"	"basal.cell"	0.00698602794411178
"60"	"vein.endothelial.cell"	"b.cell"	0.00696864111498258
"390"	"fibroblast"	"serous.cell.of.epithelium.of.bronchus"	0.0069364161849711
"109"	"basal.cell"	"capillary.aerocyte"	0.00685602350636631
"86"	"capillary.endothelial.cell"	"bronchial.smooth.muscle.cell"	0.00669216061185468
"32"	"keratinocyte"	"adventitial.cell"	0.00666666666666667
"3"	"endothelial.cell.of.artery"	"cd8.positive..alpha.beta.t.cell"	0.00653120464441219
"419"	"tongue.muscle.cell"	"type.i.pneumocyte"	0.00650759219088937
"2"	"capillary.endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00648648648648649
"391"	"immune.cell"	"serous.cell.of.epithelium.of.bronchus"	0.00641539695268645
"39"	"endothelial.cell.of.artery"	"alveolar.fibroblast"	0.00637393767705382
"131"	"tongue.muscle.cell"	"capillary.endothelial.cell"	0.00632911392405063
"376"	"endothelial.cell.of.lymphatic.vessel"	"respiratory.mucous.cell"	0.00631768953068592
"78"	"fibroblast"	"basophil"	0.00608272506082725
"115"	"immune.cell"	"capillary.aerocyte"	0.00594844679444812
"422"	"capillary.endothelial.cell"	"type.ii.pneumocyte"	0.0058411214953271
"37"	"basal.cell"	"alveolar.fibroblast"	0.00578034682080925
"200"	"keratinocyte"	"fibroblast"	0.005720823798627
"49"	"basal.cell"	"b.cell"	0.00562587904360056
"116"	"keratinocyte"	"capillary.aerocyte"	0.00559701492537313
"36"	"vein.endothelial.cell"	"adventitial.cell"	0.00559440559440559
"450"	"fibroblast"	"vein.endothelial.cell"	0.00558659217877095
"324"	"vein.endothelial.cell"	"pericyte.cell"	0.00557103064066852
"254"	"capillary.endothelial.cell"	"mesothelial.cell"	0.00551876379690949
"146"	"capillary.endothelial.cell"	"club.cell"	0.00550964187327824
"281"	"epithelial.cell"	"neutrophil"	0.00548696844993141
"312"	"vein.endothelial.cell"	"non.classical.monocyte"	0.00544464609800363
"188"	"keratinocyte"	"endothelial.cell.of.lymphatic.vessel"	0.00540540540540541
"245"	"epithelial.cell"	"macrophage"	0.00540540540540541
"205"	"basal.cell"	"intermediate.monocyte"	0.0053475935828877
"276"	"vein.endothelial.cell"	"myofibroblast.cell"	0.00533462657613967
"119"	"tongue.muscle.cell"	"capillary.aerocyte"	0.00531914893617021
"187"	"immune.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00522069292833412
"199"	"immune.cell"	"fibroblast"	0.00522022838499184
"141"	"pericyte.cell"	"classical.monocyte"	0.00520291363163371
"162"	"fibroblast"	"dendritic.cell"	0.0051150895140665
"144"	"vein.endothelial.cell"	"classical.monocyte"	0.00511073253833049
"228"	"vein.endothelial.cell"	"lung.ciliated.cell"	0.00500250125062531
"27"	"endothelial.cell.of.artery"	"adventitial.cell"	0.005
"92"	"keratinocyte"	"bronchial.smooth.muscle.cell"	0.00498504486540379
"369"	"pericyte.cell"	"respiratory.goblet.cell"	0.0049813200498132
"50"	"capillary.endothelial.cell"	"b.cell"	0.00496277915632754
"15"	"endothelial.cell.of.artery"	"cd4.positive..alpha.beta.t.cell"	0.00491400491400491
"134"	"capillary.endothelial.cell"	"classical.monocyte"	0.00488997555012225
