"Bone marrow"	"Skeletal muscle"	"value"
"294"	"granulocyte"	"tendon.cell"	0.00647668393782383
"211"	"cd24.neutrophil"	"pericyte.cell"	0.00647249190938511
"86"	"granulocyte"	"endothelial.cell.of.vascular.tree"	0.00639386189258312
"49"	"cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.artery"	0.00628140703517588
"272"	"plasma.cell"	"smooth.muscle.cell"	0.00626959247648903
"169"	"memory.b.cell"	"mature.nk.t.cell"	0.00610287707061901
"57"	"memory.b.cell"	"endothelial.cell.of.artery"	0.00607533414337789
"217"	"memory.b.cell"	"pericyte.cell"	0.00601202404809619
"232"	"macrophage"	"skeletal.muscle.satellite.stem.cell"	0.00596658711217184
"194"	"cd8.positive..alpha.beta.t.cell"	"mesothelial.cell"	0.00592718035563082
"114"	"cd8.positive..alpha.beta.t.cell"	"fast.muscle.cell"	0.0058972198820556
"38"	"granulocyte"	"cd8.positive..alpha.beta.t.cell"	0.00586510263929619
"121"	"memory.b.cell"	"fast.muscle.cell"	0.00573065902578797
"257"	"cd4.positive..alpha.beta.t.cell"	"smooth.muscle.cell"	0.00564334085778781
"146"	"cd8.positive..alpha.beta.t.cell"	"mast.cell"	0.0056232427366448
"41"	"memory.b.cell"	"cd8.positive..alpha.beta.t.cell"	0.00560747663551402
"145"	"cd4.positive..alpha.beta.t.cell"	"mast.cell"	0.00555555555555556
"95"	"nk.cell"	"endothelial.cell.of.vascular.tree"	0.00555114988104679
"242"	"cd8.positive..alpha.beta.t.cell"	"slow.muscle.cell"	0.00548696844993141
"230"	"granulocyte"	"skeletal.muscle.satellite.stem.cell"	0.00523560209424084
"48"	"plasma.cell"	"cd8.positive..alpha.beta.t.cell"	0.00517241379310345
"181"	"erythroid.progenitor"	"mesenchymal.stem.cell"	0.00514579759862779
"225"	"cd4.positive..alpha.beta.t.cell"	"skeletal.muscle.satellite.stem.cell"	0.00508474576271186
"301"	"nampt.neutrophil"	"tendon.cell"	0.00502933780385583
"185"	"memory.b.cell"	"mesenchymal.stem.cell"	0.00495049504950495
"26"	"monocyte"	"cd4.positive..alpha.beta.t.cell"	0.00483091787439614
"297"	"memory.b.cell"	"tendon.cell"	0.00479233226837061
"241"	"cd4.positive..alpha.beta.t.cell"	"slow.muscle.cell"	0.00464396284829721
"166"	"granulocyte"	"mature.nk.t.cell"	0.00462962962962963
"128"	"plasma.cell"	"fast.muscle.cell"	0.00457456541628545
"161"	"cd4.positive..alpha.beta.t.cell"	"mature.nk.t.cell"	0.00445632798573975
"265"	"memory.b.cell"	"smooth.muscle.cell"	0.00437636761487965
"70"	"granulocyte"	"endothelial.cell.of.lymphatic.vessel"	0.00428265524625268
"209"	"cd4.positive..alpha.beta.t.cell"	"pericyte.cell"	0.00422832980972516
"292"	"erythrocyte"	"tendon.cell"	0.00419287211740042
"167"	"hematopoietic.stem.cell"	"mature.nk.t.cell"	0.00418410041841004
"23"	"hematopoietic.stem.cell"	"cd4.positive..alpha.beta.t.cell"	0.00412654745529574
"178"	"cd8.positive..alpha.beta.t.cell"	"mesenchymal.stem.cell"	0.00401606425702811
"113"	"cd4.positive..alpha.beta.t.cell"	"fast.muscle.cell"	0.00391389432485323
"290"	"cd8.positive..alpha.beta.t.cell"	"tendon.cell"	0.00391134289439374
"277"	"erythroid.progenitor"	"t.cell"	0.0037202380952381
"16"	"plasma.cell"	"capillary.endothelial.cell"	0.00366300366300366
"129"	"cd4.positive..alpha.beta.t.cell"	"macrophage"	0.0034965034965035
