"Skeletal muscle"	"Lung"	"value"
"163"	"mature.nk.t.cell"	"bronchial.vessel.endothelial.cell"	0.0131744040150565
"300"	"skeletal.muscle.satellite.stem.cell"	"endothelial.cell.of.lymphatic.vessel"	0.013126491646778
"200"	"mast.cell"	"capillary.endothelial.cell"	0.0130909090909091
"137"	"endothelial.cell.of.artery"	"bronchial.smooth.muscle.cell"	0.0130718954248366
"452"	"skeletal.muscle.satellite.stem.cell"	"neutrophil"	0.0130718954248366
"422"	"endothelial.cell.of.artery"	"myofibroblast.cell"	0.0130081300813008
"47"	"macrophage"	"adventitial.cell"	0.0129604365620737
"636"	"macrophage"	"smooth.muscle.cell"	0.0129533678756477
"181"	"mast.cell"	"capillary.aerocyte"	0.0128939828080229
"187"	"slow.muscle.cell"	"capillary.aerocyte"	0.0128923766816144
"117"	"cd8.positive..alpha.beta.t.cell"	"basophil"	0.0128571428571429
"216"	"erythrocyte"	"classical.monocyte"	0.0127659574468085
"203"	"mesothelial.cell"	"capillary.endothelial.cell"	0.012760241773002
"552"	"capillary.endothelial.cell"	"pulmonary.ionocyte"	0.012653516933383
"409"	"mast.cell"	"mesothelial.cell"	0.012636899747262
"432"	"pericyte.cell"	"myofibroblast.cell"	0.0126227208976157
"454"	"smooth.muscle.cell"	"neutrophil"	0.0126027397260274
"339"	"slow.muscle.cell"	"intermediate.monocyte"	0.0125661375661376
"669"	"endothelial.cell.of.artery"	"type.ii.pneumocyte"	0.01256038647343
"52"	"pericyte.cell"	"adventitial.cell"	0.0124688279301746
"575"	"endothelial.cell.of.lymphatic.vessel"	"respiratory.goblet.cell"	0.0124688279301746
"404"	"endothelial.cell.of.lymphatic.vessel"	"mesothelial.cell"	0.0124164278892073
"122"	"fast.muscle.cell"	"basophil"	0.0124069478908189
"249"	"cd4.positive..alpha.beta.t.cell"	"dendritic.cell"	0.0123456790123457
"688"	"endothelial.cell.of.artery"	"vascular.associated.smooth.muscle.cell"	0.0122887864823349
"341"	"t.cell"	"intermediate.monocyte"	0.0122448979591837
"554"	"cd8.positive..alpha.beta.t.cell"	"pulmonary.ionocyte"	0.0122349102773246
"660"	"pericyte.cell"	"type.i.pneumocyte"	0.0122249388753056
"677"	"mesenchymal.stem.cell"	"type.ii.pneumocyte"	0.0122100122100122
"307"	"cd8.positive..alpha.beta.t.cell"	"fibroblast"	0.0121664050235479
"465"	"macrophage"	"nk.cell"	0.0121288163948139
"250"	"cd8.positive..alpha.beta.t.cell"	"dendritic.cell"	0.0121212121212121
"599"	"mast.cell"	"respiratory.mucous.cell"	0.0121002592912705
"399"	"tendon.cell"	"macrophage"	0.0120918984280532
"680"	"skeletal.muscle.satellite.stem.cell"	"type.ii.pneumocyte"	0.0120481927710843
"374"	"mesothelial.cell"	"lung.microvascular.endothelial.cell"	0.012037037037037
"537"	"endothelial.cell.of.lymphatic.vessel"	"plasmacytoid.dendritic.cell"	0.0120076849183477
"280"	"pericyte.cell"	"endothelial.cell.of.artery"	0.0120048019207683
"403"	"endothelial.cell.of.artery"	"mesothelial.cell"	0.0119815668202765
"182"	"mature.nk.t.cell"	"capillary.aerocyte"	0.0117501546072975
"169"	"smooth.muscle.cell"	"bronchial.vessel.endothelial.cell"	0.0117388114453412
"384"	"endothelial.cell.of.artery"	"macrophage"	0.01171875
"617"	"macrophage"	"serous.cell.of.epithelium.of.bronchus"	0.0116448326055313
"132"	"t.cell"	"basophil"	0.0116279069767442
"180"	"macrophage"	"capillary.aerocyte"	0.0115995115995116
"166"	"pericyte.cell"	"bronchial.vessel.endothelial.cell"	0.0115546218487395
"91"	"skeletal.muscle.satellite.stem.cell"	"b.cell"	0.0115384615384615
"595"	"endothelial.cell.of.vascular.tree"	"respiratory.mucous.cell"	0.0115207373271889
"361"	"tendon.cell"	"lung.ciliated.cell"	0.0113430127041742
"85"	"macrophage"	"b.cell"	0.0112866817155756
"582"	"mesenchymal.stem.cell"	"respiratory.goblet.cell"	0.0112179487179487
"385"	"endothelial.cell.of.lymphatic.vessel"	"macrophage"	0.011144883485309
"199"	"macrophage"	"capillary.endothelial.cell"	0.0111248454882571
"416"	"smooth.muscle.cell"	"mesothelial.cell"	0.011063829787234
"245"	"smooth.muscle.cell"	"club.cell"	0.0110441767068273
"100"	"endothelial.cell.of.lymphatic.vessel"	"basal.cell"	0.0109529025191676
"190"	"tendon.cell"	"capillary.aerocyte"	0.010919017288444
"623"	"skeletal.muscle.satellite.stem.cell"	"serous.cell.of.epithelium.of.bronchus"	0.0108958837772397
"486"	"mature.nk.t.cell"	"non.classical.monocyte"	0.0108949416342412
"496"	"cd4.positive..alpha.beta.t.cell"	"pericyte.cell"	0.0108499095840868
