"Tongue"	"Spleen"	"value"
"96"	"vein.endothelial.cell"	"erythrocyte"	0.00683760683760684
"158"	"capillary.endothelial.cell"	"memory.b.cell"	0.0068259385665529
"50"	"capillary.endothelial.cell"	"cd141.positive.myeloid.dendritic.cell"	0.00681198910081744
"68"	"keratinocyte"	"classical.monocyte"	0.00679347826086957
"247"	"immune.cell"	"plasmacytoid.dendritic.cell"	0.00677966101694915
"109"	"basal.cell"	"innate.lymphoid.cell"	0.00674915635545557
"159"	"endothelial.cell.of.artery"	"memory.b.cell"	0.00673724735322425
"54"	"fibroblast"	"cd141.positive.myeloid.dendritic.cell"	0.00667556742323097
"162"	"fibroblast"	"memory.b.cell"	0.00665557404326123
"45"	"pericyte.cell"	"cd8.positive..alpha.beta.t.cell"	0.00660660660660661
"232"	"endothelial.cell.of.lymphatic.vessel"	"plasma.cell"	0.00650759219088937
"9"	"pericyte.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.00649350649350649
"108"	"vein.endothelial.cell"	"hematopoietic.stem.cell"	0.00647548566142461
"272"	"keratinocyte"	"regulatory.t.cell"	0.0063391442155309
"222"	"fibroblast"	"nk.cell"	0.00610500610500611
"157"	"basal.cell"	"memory.b.cell"	0.00609756097560976
"160"	"endothelial.cell.of.lymphatic.vessel"	"memory.b.cell"	0.00609756097560976
"197"	"epithelial.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00607287449392713
"186"	"fibroblast"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00566037735849057
"89"	"epithelial.cell"	"erythrocyte"	0.00561797752808989
"168"	"vein.endothelial.cell"	"memory.b.cell"	0.00561797752808989
"145"	"basal.cell"	"mature.nk.t.cell"	0.00549450549450549
"12"	"vein.endothelial.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.00544464609800363
"201"	"pericyte.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00539083557951483
"174"	"fibroblast"	"naive.b.cell"	0.00531208499335989
"209"	"epithelial.cell"	"neutrophil"	0.00504322766570605
"229"	"basal.cell"	"plasma.cell"	0.00504201680672269
"166"	"schwann.cell"	"memory.b.cell"	0.00494437577255871
"90"	"fibroblast"	"erythrocyte"	0.00480769230769231
"278"	"capillary.endothelial.cell"	"type.i.nk.t.cell"	0.00467289719626168
"169"	"basal.cell"	"naive.b.cell"	0.0046583850931677
"287"	"tongue.muscle.cell"	"type.i.nk.t.cell"	0.00459418070444104
"276"	"vein.endothelial.cell"	"regulatory.t.cell"	0.00448430493273543
"65"	"epithelial.cell"	"classical.monocyte"	0.00442477876106195
"125"	"epithelial.cell"	"intermediate.monocyte"	0.00434782608695652
"270"	"fibroblast"	"regulatory.t.cell"	0.00433526011560694
"176"	"keratinocyte"	"naive.b.cell"	0.00432276657060519
"234"	"fibroblast"	"plasma.cell"	0.00425531914893617
"188"	"keratinocyte"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00424628450106157
"217"	"basal.cell"	"nk.cell"	0.00421940928270042
"16"	"endothelial.cell.of.lymphatic.vessel"	"cd4.positive..alpha.beta.memory.t.cell"	0.00417246175243394
"14"	"capillary.endothelial.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0.00412371134020619
"180"	"vein.endothelial.cell"	"naive.b.cell"	0.00393700787401575
"42"	"fibroblast"	"cd8.positive..alpha.beta.t.cell"	0.00389357560025957
"182"	"capillary.endothelial.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00387596899224806
"153"	"pericyte.cell"	"mature.nk.t.cell"	0.00382165605095541
"147"	"endothelial.cell.of.artery"	"mature.nk.t.cell"	0.00364963503649635
